0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
0.00872,0.008179,0.008247,0.007783,0.00785,0.000578,0.001251,0.007341,0.007296,0.007283,0.007266,0.007242,0.007264,-7.3e-05,0.006704,0.000663,3.3e-05,3.4e-05,6.3e-05,1.2e-05,-5.5e-05,-0.00681,-0.000652,-0.006747,2.1e-05,1.7e-05,1e-06,-8e-05,-0.000131,-0.0001,7.6e-05,0.000139,0.000193,0.0001,-6e-05,-0.000237,-0.000343,-0.000328,0.006402,0.000424,-0.000136,0.007277,0.007893,0.007896,0.000586,0.000691,0.000117,0.000139,0.000223,0.000238,0.000244,-0.000446,0.00016,-0.000494,-0.000539,-0.000472,-0.000495,-0.000552,-0.006749,-0.007421,-6.3e-05,-0.000606,-0.007332,-0.007315,-0.00792,-0.000649,-3.9e-05,-0.000634,-3.9e-05,5.1e-05,8e-05,4.6e-05,-0.0,3e-06,-0.000591,-3.2e-05,-5e-06,-2.9e-05,-0.000643,-9.5e-05,-9e-05,-8.7e-05,-0.000127,-0.000171,-0.006847,-0.000154,-0.000156,-0.000109,-9.5e-05,-8.2e-05,-5.4e-05,0.006008,-7.1e-05,0.00658,3e-06,0.006734,6.9e-05,4.6e-05,0.000106,0.000102,4.7e-05,0.0006,-3.4e-05,0.007224,0.000604,0.006687,-0.0,0.006779,0.006792,0.000167,0.00687,0.006798,0.000112,0.006746,0.006125,0.006781,0.013491,0.006183,0.006821,0.00678,-0.00066,-0.000692,-0.000632,-0.00062,8.8e-05,0.000106,0.006178,0.000144,-0.000536,0.006851,0.006923,0.013619,0.013561,0.006844,0.006791,0.006695,0.006677,0.006622,0.007259,0.000487,0.007141,0.001082,0.00708,0.007882,0.007868,0.007176
-0.018059,-0.012684,-0.01376,-0.009713,-0.010669,-0.005917,-0.012952,-0.005617,-0.00482,-0.004538,-0.004149,-0.003707,-0.004006,0.000969,0.001108,-0.006489,-0.000488,-0.000524,-0.000909,-0.000171,0.000811,0.000317,0.006412,-0.000577,-0.000362,-0.000256,2e-06,0.001227,0.002005,0.00151,-0.001184,-0.00212,-0.002959,-0.001518,0.000931,0.003634,0.005255,0.004995,0.005507,-0.003128,0.002005,-0.00451,-0.010376,-0.010344,-0.005513,-0.006989,-0.001761,-0.002078,-0.003284,-0.00356,-0.003566,0.003396,-0.002329,0.004118,0.004814,0.003767,0.004163,0.005013,-0.000519,0.006191,0.000984,0.005776,0.0052,0.005011,0.011059,0.006646,0.000634,0.006442,0.000625,-0.000837,-0.001304,-0.000815,2.1e-05,-2.9e-05,0.005808,0.000549,9.8e-05,0.000525,0.00669,0.001581,0.001469,0.001422,0.002072,0.002786,0.00194,0.002491,0.002512,0.001742,0.001535,0.001327,0.000865,0.007555,0.001145,0.002013,-6.6e-05,-0.00043,-0.001135,-0.000695,-0.001706,-0.001574,-0.000682,-0.005799,0.000528,-0.004328,-0.005872,0.000516,2e-06,-0.000781,-0.000904,-0.002375,-0.001856,-0.000775,-0.001483,-2.3e-05,0.005615,-0.000421,7.3e-05,0.004855,-0.000801,-0.00034,0.005919,0.006301,0.00562,0.00546,-0.001044,-0.001271,0.004834,-0.001685,0.004405,-0.001137,-0.00196,-0.001133,-0.000297,-0.000815,-0.000176,0.000791,0.001031,0.001507,-0.003689,-0.00376,-0.002528,-0.008507,-0.001955,-0.008654,-0.008425,-0.002795
0.018588,0.01456,0.0136,0.008364,0.007514,0.003576,0.006161,0.003168,0.003883,0.004134,0.004484,0.004877,0.004608,0.000858,0.000283,0.003087,-0.000438,-0.000472,-0.000813,-0.000149,0.000732,0.000986,-0.003162,0.000182,-0.000322,-0.000227,4e-06,0.001098,0.001791,0.001348,-0.001056,-0.001898,-0.002649,-0.001362,0.000833,0.003251,0.004695,0.004446,0.004195,0.006079,0.001771,0.004173,0.007839,0.007869,0.003976,0.002677,-0.001563,-0.001841,-0.002902,-0.003166,-0.003166,-0.005867,-0.002085,-0.005239,-0.004609,-0.005545,-0.005188,-0.004424,0.000231,-0.002663,0.000882,-0.003729,-0.003529,-0.003711,-0.007169,-0.00293,0.000571,-0.003113,0.000559,-0.000749,-0.001171,-0.000731,1.7e-05,-2.5e-05,-0.003679,0.000493,8.9e-05,0.00047,-0.002885,0.001413,0.001312,0.00127,0.001848,0.00248,0.002402,0.002211,0.002226,0.001542,0.001359,0.001172,0.000763,-0.002806,0.001008,0.001103,-6.2e-05,-0.001056,-0.001004,-0.000619,-0.001509,-0.001394,-0.000601,0.003682,0.000468,0.004305,0.003616,-0.000232,-5e-06,-0.001385,-0.001497,-0.002116,-0.002355,-0.001398,-0.001331,-0.000733,-0.004562,-0.001097,-0.001369,-0.00524,-0.001448,-0.001036,-0.003578,-0.003232,-0.003836,-0.003979,-0.000938,-0.001144,-0.005259,-0.001518,-0.00493,-0.001757,-0.002512,-0.002512,-0.001768,-0.0015,-0.000924,-4.7e-05,0.000173,0.000604,0.004812,0.005509,0.005864,0.010132,0.006377,0.009239,0.009447,0.00561
-0.058099,0.188689,-0.135645,-0.048451,0.157862,-0.844204,0.140684,0.000253,0.13668,0.920014,-0.054609,-0.05124,-0.037937,0.972467,-0.002217,-0.040141,-0.102206,-0.242734,-0.098882,-0.019034,-0.027966,-0.001253,0.041707,-0.030148,-0.19753,-0.00986,-0.000809,-0.015678,-0.016073,0.080254,-0.002941,0.00146,-0.003847,-0.000414,0.000374,0.00015,0.003291,-0.00042,0.006831,-0.103613,0.220792,-0.046722,0.148068,-0.086572,-0.047797,0.125274,-0.157441,-0.05857,1.447757,-0.187775,1.47599,1.511509,-0.220471,-0.064195,-0.088856,-0.145338,-0.069121,-0.036947,-0.025056,-0.014173,-0.04355,-0.038771,1.56939,-0.025548,1.660299,-0.05546,-0.063946,-0.01204,-0.002682,0.009074,-0.004562,-0.071641,-0.025824,-0.350497,0.009703,-0.000875,-0.041595,-0.000952,0.032163,0.00265,-0.000561,0.000986,-0.000142,0.000741,-0.00869,0.001547,0.00181,0.002123,-0.000255,0.001767,-0.000681,0.040611,0.001811,0.462738,-0.000187,0.005114,0.089998,0.009039,0.106297,0.039982,0.020411,-0.030488,0.00613,0.012837,0.043692,0.001082,-0.014026,0.00131,0.001732,-0.079526,0.001881,0.016129,-0.002463,-0.011832,0.047879,-0.129043,0.012702,-1.550727,0.016805,0.013567,0.046106,0.072049,0.085888,0.04577,-0.028616,0.021205,0.063249,0.000557,0.151463,-0.444801,0.167009,0.178314,0.041583,0.147539,0.04067,0.16867,0.036963,0.194589,0.059958,0.125733,0.026704,0.004211,0.066285,0.090354,0.038836,0.032879
-0.152238,-0.406267,0.133864,0.040661,-0.330958,-0.01781,-0.301577,0.008975,-0.263587,1.838196,0.118595,0.104567,-0.0108,1.814145,-0.022106,0.0042,0.402873,0.61119,0.295714,0.120645,0.145413,0.013641,-0.023458,0.149336,0.542152,0.093498,-0.013961,0.017829,0.023123,0.143693,0.007046,-0.014988,0.007277,-0.009128,-0.001226,-4.1e-05,-0.014156,-0.007542,0.12324,0.234087,0.590545,0.081251,0.682048,0.112353,0.012971,0.740661,0.537989,0.68331,0.636103,0.95839,0.589116,0.709335,0.884097,0.694227,0.656956,0.817966,0.611382,0.382151,0.04539,0.390058,0.192376,0.500337,0.508862,0.618857,0.34942,0.672036,0.481323,0.365934,-0.017054,-0.133969,-0.020558,0.580755,0.136756,1.629628,0.119259,-0.013096,0.252696,-0.014275,-0.036098,-0.017448,-0.010385,0.000368,0.002183,-0.022768,0.009681,-0.01407,-0.014595,-0.016438,0.001918,-0.015004,0.003741,-0.04205,-0.015413,-1.582395,0.001138,-0.024377,-0.597754,0.002278,-0.603397,-0.121098,-0.040168,0.020341,-0.001455,-0.255197,-0.45866,-0.011535,-0.000774,-0.007508,-0.015087,0.546151,-0.015323,-0.063978,0.026066,-0.005787,-0.042247,-0.081511,-0.036059,-0.586177,-0.07497,-1.176495,0.030131,-0.099429,-0.1735,-0.201295,-1.64063,-0.110731,-0.328724,-0.254199,-0.634577,-0.336126,-0.935174,-0.864246,-0.339427,-0.69333,-0.319238,-0.639582,-0.235805,-0.804878,-0.389246,-0.614278,-0.271666,-0.292485,-0.448121,-0.489432,-0.374057,-0.353506
-0.140484,-0.55611,-0.151158,-0.227326,-0.502161,-2.088274,-0.519014,-0.22528,-0.419869,-1.806888,-0.143014,-0.146424,0.016954,-1.837326,0.036081,-0.01231,-0.029604,0.208501,-0.021672,-0.157202,-0.139564,-0.030316,0.008239,-0.169568,0.160016,-0.171011,-0.001226,0.051957,0.052732,-0.175338,-0.021447,-0.005543,-0.027098,-0.007369,-0.000453,5.6e-05,0.021074,0.030535,-0.156732,-0.087919,-0.617839,-0.163831,-0.846505,-0.166293,-0.00846,-0.609875,0.125481,0.295125,0.36157,0.22306,0.236676,0.287943,0.102379,0.002205,0.25179,0.369295,0.223012,0.300005,-0.008476,0.266611,0.137932,0.386962,0.227729,0.423281,0.078583,0.294819,0.341605,0.310361,-0.013458,0.14934,-0.013022,0.421067,0.100392,-2.203432,0.115132,-0.00847,0.184234,-0.009915,0.03601,0.022367,-0.007255,-0.005004,-0.003249,0.012217,-0.037072,0.01744,0.020207,0.022877,-0.002775,0.020822,-0.005368,0.069829,0.021427,2.290676,-0.001641,0.042551,-0.434575,4.3e-05,-0.478448,-0.001533,-0.03902,-0.020086,-0.006423,-0.173822,-0.361264,0.031934,0.000303,0.034862,0.029378,-0.768683,0.029395,-0.006722,-0.016858,0.036655,0.034786,-0.046124,0.046835,-0.226378,0.074709,0.315643,-0.211654,-0.287517,-0.344152,-0.385751,1.669585,-0.255436,-0.11083,0.125358,-0.223195,-0.060801,-0.065527,-0.105686,0.316982,-0.017405,0.293906,-0.187347,0.108228,-0.074104,0.005865,0.046821,0.05725,0.012078,0.209714,-0.126778,-0.008003,0.275091
0.000872,0.001047,0.001161,0.001324,0.00122,0.001209,0.001301,0.001406,0.001385,0.001457,0.001283,0.000793,-0.005853,-0.005866,-0.012729,-0.006053,-0.006423,-0.012565,-0.019903,-0.013335,-0.019835,-0.013941,-0.007276,-0.00772,-0.000347,0.000244,0.000269,0.000713,0.0012,0.001179,0.000689,-0.006052,-0.00592,-0.006062,-0.006019,-0.005858,0.000424,-0.006249,-0.006335,6.2e-05,0.000336,0.000969,-0.005047,0.001643,-0.004491,0.002295,0.002345,0.008555,0.00172,0.007125,0.006914,-0.00673,-0.006832,-0.006441,-0.006899,-0.006578,-0.000397,-9e-05,-0.000274,-0.000493,-0.000693,0.005848,-0.001033,0.006053,-0.000412,-0.000733,0.006179,0.00579,-0.000803,-0.000901,-0.001236,-0.001185,-0.00189,-0.001618,-0.001545,-0.002216,-0.009276,-0.002578,-0.002766,-0.009341,-0.002413,-0.002212,-0.002581,-0.002513,-0.002369,-0.002617,-0.001803,-0.002202,-0.00211,-0.001869,-0.002025,-0.001885,-0.001882,-0.001883,-0.002081,-0.002026,-0.002303,-0.001774,-0.001071,-0.000788,-0.000504,-0.000603,0.006532,0.006149,0.006461,7.8e-05,0.006838,-0.000551,-0.000562,-0.000576,-0.001193,-0.000892,-0.000808,-0.000824,-0.000656,-0.000578,-0.001005,0.006454,-0.000694,0.0064,-0.000356,0.000201,0.006867,0.006675,0.007173,0.007,0.007122,0.007022,0.007007,0.014276,0.014272,0.007454,0.00764,0.00759,0.014532,0.00779,0.01486,0.007881,0.014822,0.014908,0.015004,0.01498,0.015191,0.015142,0.015059,0.008057
0.004076,0.004897,0.005427,0.006203,0.005736,0.005679,0.006117,0.006616,0.006507,0.006841,0.006025,-0.00026,0.000212,0.000139,-0.004381,-0.004704,-0.010326,-0.007535,-0.017938,-0.018695,-0.017311,-0.024847,-0.021398,-0.023201,-0.009153,-0.00282,-0.002724,0.003018,0.008966,0.008872,0.002905,0.003172,0.00372,0.003114,0.003266,0.003899,0.001772,0.006124,0.005745,0.000246,0.001367,0.003954,0.007048,0.006691,0.009228,0.009334,0.00955,0.007478,0.007067,-0.002089,-0.002951,-0.007747,-0.008145,-0.002692,-0.008379,-0.007047,-0.013064,-0.007984,-0.008738,-0.009621,-0.010448,-0.007468,-0.00806,-0.002878,-0.00169,-0.00689,-0.002417,-0.007911,-0.007183,-0.007588,-0.012846,-0.012636,-0.019398,-0.0144,-0.0141,-0.016864,-0.021502,-0.018329,-0.019109,-0.013734,-0.010081,-0.005077,-0.01045,-0.010128,-0.009536,-0.01049,-0.003286,-0.008788,-0.008409,-0.00744,-0.00805,-0.007479,-0.007442,-0.003495,-0.004267,-0.004037,-0.009046,-0.006942,-0.004471,-0.003065,-0.001959,-0.002351,-0.002523,-0.004041,-0.002858,0.000185,-0.001277,-0.006133,-0.006174,-0.006274,-0.008704,-0.0075,-0.007073,-0.00718,-0.00655,-0.006238,-0.011886,-0.007194,-0.01067,-0.007326,-0.005396,0.000801,-0.001554,-0.00233,0.00373,-0.001039,-0.000481,-0.00094,-0.000959,0.003162,-0.000889,0.000914,0.001747,0.001566,0.000407,0.002539,0.001969,0.003042,0.002031,0.002538,0.003051,0.003109,0.004293,0.004168,0.003725,0.004716
0.00349,0.00418,0.004621,0.005259,0.004841,0.004782,0.005127,0.00552,0.005416,0.005667,0.004968,0.008326,0.008642,0.008571,0.013325,0.013118,0.01706,0.019245,0.027783,0.027256,0.028334,0.030948,0.025323,0.02397,0.009734,0.006238,0.006312,0.002342,-0.001468,-0.001544,0.002243,0.002391,0.002807,0.002342,0.002457,0.002938,0.001362,-0.003717,-0.004007,0.000193,0.00105,0.003022,0.005309,0.005081,0.006912,0.006994,0.007127,0.005579,0.005202,0.006673,0.006038,0.010647,0.010368,0.006182,0.010215,0.011192,0.015029,0.010551,0.010014,0.00939,0.008799,0.002801,0.002354,-0.002069,-0.001231,0.003199,-0.001741,0.002479,0.00299,0.002701,0.007113,0.00727,0.010599,0.005998,0.006225,0.00419,0.00905,0.003084,0.002487,-0.001965,-0.007745,-0.012319,-0.00801,-0.007823,-0.007395,-0.008193,-0.011176,-0.006966,-0.006683,-0.005949,-0.006481,-0.006033,-0.006035,-0.011598,-0.012286,-0.012123,-0.007514,-0.005797,-0.003786,-0.002573,-0.001651,-0.001993,-0.001985,-0.003269,-0.002276,0.000142,-0.000984,0.00371,0.00368,0.003571,0.001529,0.002558,0.002879,0.002798,0.003342,0.003641,0.007779,0.002949,0.008814,0.002876,0.004369,0.000691,-0.001173,-0.001843,-0.005719,-0.000742,-0.000338,-0.000664,-0.000762,-0.006016,-0.000496,0.000908,0.001616,0.001458,0.000581,0.002266,0.001889,0.002672,0.001888,0.002306,0.002721,0.002732,0.003698,0.003577,0.003125,0.003921
0.004093,0.004164,0.005199,-0.001003,-0.000274,0.003771,0.004015,-0.012874,-0.068587,0.000996,0.005849,-0.034757,-0.033348,-0.043673,-0.071897,-0.011661,-0.450951,-0.072902,-0.052968,-0.012675,0.144514,0.157744,0.13579,0.093192,-0.067407,-0.052566,-0.052212,0.230967,-0.056639,0.035942,-0.013867,0.00153,-0.002548,-0.000366,0.000253,-0.28216,-0.173696,0.027412,0.034352,-0.012048,-0.00245,0.000232,0.012067,0.003516,-0.000316,0.000662,0.002446,-0.009853,-0.010044,-0.046028,0.251257,0.180718,0.18386,0.012973,0.031039,0.23104,0.087739,0.074025,0.302211,0.041627,0.229096,-1.0918,0.078873,0.014673,0.145408,0.213564,0.138313,0.280487,0.414401,0.404068,-1.126276,0.483932,0.753554,0.574836,0.29549,0.338437,2.525794,0.147357,0.263927,0.014239,1.323697,0.222183,0.147572,0.159551,2.029761,0.11627,0.023799,0.911458,-0.009997,0.004414,0.66869,0.06002,0.003738,0.013057,0.204155,0.075507,-0.002352,0.039891,2.474594,0.154689,0.172057,1.853349,2.038708,0.067192,0.088089,3.103281,4.426685,0.769793,0.83856,2.077798,0.760069,0.22931,3.663298,3.398482,3.461184,0.87484,-0.02692,1.827068,1.533057,-0.095312,-0.08783,-0.13773,-0.111463,0.085442,4.237127,-0.077713,4.203941,-0.027464,4.383845,1.340691,-0.03009,-0.02393,-0.02244,-0.023136,-0.011854,0.014591,-0.009182,-0.017984,1.434553,0.002573,0.002934,1.454571,0.014557,-0.003109,4.791025,0.139304
