0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
0.016731,0.008237,0.000264,0.000174,0.000113,-0.007848,-0.008494,-0.007879,-0.000533,0.000157,-0.00041,0.008258,0.007735,0.008498,0.0165,0.008063,0.00888,0.016307,0.008406,0.007746,0.007629,-0.001103,-0.001381,-0.00208,-0.001509,-0.009696,-0.009911,-0.009269,-0.009319,-0.017374,-0.008618,-0.008604,-0.008622,-0.008581,-0.000576,-0.000563,-0.008501,-0.009105,-0.009117,-0.009111,-0.009133,-0.008552,4.9e-05,2e-05,-1e-06,2.5e-05,3.5e-05,6.5e-05,7.6e-05,4.2e-05,0.007995,-4.3e-05,-5.7e-05,1e-06,-6e-06,-1.7e-05,1.6e-05,-2e-05,-1e-05,-0.007998,-0.008032,0.000567,0.000587,0.000589,-0.007423,0.00061,-3e-06,0.008608,6e-06,0.008017,0.008507,0.00861,0.016514,0.016594,0.008585,0.00856,0.007819,0.00854,0.000447,0.000452,0.0004,0.008362,0.007661,0.007633,0.000187,0.008815,0.008824,0.008825,0.009512,0.009599,0.009649,0.009666,0.009683,0.009066,0.001003
-0.009149,-0.004023,-0.003483,-0.002247,-0.001536,-0.001503,0.004278,-0.001087,0.004195,-0.002285,0.002475,-0.004098,0.000174,-0.006975,-0.006751,-0.003375,-0.010657,-0.005124,-0.006337,-0.000202,0.00145,0.006738,0.008486,0.016028,0.011462,0.012369,0.013849,0.009674,0.01031,0.009358,0.004351,0.004214,0.004513,0.003719,0.004839,0.004688,0.00303,0.008442,0.008594,0.008706,0.009337,0.004161,-0.000751,-0.000296,3.3e-05,-0.000463,-0.000641,-0.001216,-0.001437,-0.000842,0.000777,0.00081,0.000967,1.2e-05,-1.4e-05,0.000258,-0.000335,0.00022,6e-06,-0.000773,-0.000287,-0.005166,-0.005632,-0.005758,-0.006439,-0.006238,-0.000304,-0.005001,-0.000103,0.000537,-0.00421,-0.004702,-0.003987,-0.00345,-0.00386,-0.00357,0.002414,-0.003046,-0.004066,-0.002983,-0.002238,-0.000391,0.00633,0.006668,0.001053,-0.004148,-0.004516,-0.004596,-0.010807,-0.012329,-0.012944,-0.01301,-0.013047,-0.007757,-0.007714
-0.003031,-0.006537,-0.004654,-0.003008,-0.002062,-0.000817,-0.004587,-0.00027,-0.005884,-0.003059,-0.008193,-0.006703,-0.01255,-0.010725,-0.011691,-0.017643,-0.016154,-0.021637,-0.022301,-0.025754,-0.023564,-0.026714,-0.023695,-0.025449,-0.019945,-0.017227,-0.014425,-0.008904,-0.007884,-0.007435,-0.004526,-0.004741,-0.004301,-0.00506,-0.00515,-0.005374,-0.006201,-0.010827,-0.010643,-0.010507,-0.009522,-0.00491,-0.001142,-0.000453,4.2e-05,-0.000709,-0.000978,-0.00185,-0.002186,-0.001268,-0.000104,0.001234,0.00148,1.6e-05,-1.1e-05,0.000398,-0.000511,0.000345,1.2e-05,9.9e-05,0.000842,0.004679,0.003974,0.004028,0.003981,0.003041,-0.000451,0.003668,-0.000172,-0.000442,0.004965,0.0041,0.003866,0.004686,0.005363,0.005792,0.002183,0.006587,0.006123,0.007956,0.009062,0.010558,0.008181,0.008665,0.013862,0.017085,0.016492,0.016343,0.019228,0.017156,0.016257,0.016123,0.016041,0.011595,0.012958
-0.050539,0.003656,-0.034291,0.017153,-0.223853,0.52406,0.051322,-0.092879,-0.115915,-0.166228,0.022719,-0.131221,-0.099949,-0.137196,-0.079162,-0.016902,-0.059549,-0.070725,-0.062505,-0.018988,-0.052085,0.0104,5.435195,0.512022,0.012223,0.03108,5.593902,0.085598,1.612167,5.272065,0.119673,-0.007407,-0.01119,5.142043,-0.012321,0.005073,5.000894,1.568054,0.067509,0.219379,2.870729,0.483996,-0.0155,-0.007506,0.031888,0.032262,0.033281,0.11615,-0.005232,0.121387,0.107316,1.05303,0.072216,0.963256,0.139407,0.253685,0.217666,0.33042,0.358814,0.229898,-0.167118,0.197392,0.173587,-4.810755,0.025413,0.099753,-1.067111,0.186831,0.351321,-1.040776,-4.226915,0.399013,-3.534498,-0.64238,0.301389,0.071701,-2.897014,0.179042,-2.701676,-0.528866,-0.167011,0.666446,0.141663,0.204621,-0.00244,-0.835458,-0.077189,-0.099066,-2.800554,0.29595,-0.077182,-0.080525,0.310346,0.068305,0.296973
0.094507,0.131549,0.153224,0.023133,0.722721,1.693701,1.132433,0.392998,0.987517,0.744939,1.065561,0.636373,0.731803,0.840322,0.431048,0.298276,0.363683,0.831961,0.641523,0.552269,0.994856,0.582523,0.255906,-0.743079,0.842135,0.510027,-0.050588,0.878559,0.941967,1.074551,0.691334,0.559131,0.666354,0.730186,0.723557,0.69827,1.026487,0.925802,1.029064,0.264014,-0.622432,-0.04505,0.113299,-0.000927,-0.036064,-0.19125,-0.241137,-0.743077,-0.646211,-1.176164,-1.021564,-2.412515,-1.062589,-2.787781,-1.564636,-1.666044,-1.550385,-1.75955,-1.594583,-1.206223,-1.440732,-1.021976,-0.718782,-2.504385,-0.291651,-0.438791,-1.512767,-0.622725,-0.9001,-1.527251,-2.950777,-1.032309,-3.341852,-1.827257,-0.803324,-2.076309,-3.32644,-1.194345,-2.809366,-1.335738,-1.517406,-0.91926,-0.664972,-0.348603,-0.094982,-0.534999,-0.017507,0.080345,-1.530549,-0.384095,-0.033661,-0.482525,-0.430865,-0.247516,-0.381427
-0.175435,-0.225203,-0.159212,-0.056781,0.155492,-2.397271,-0.620657,-0.054505,0.034764,0.175122,-0.898807,-0.117872,0.184944,-0.030693,0.002627,-0.176425,0.151079,0.223031,0.071568,0.307494,0.329571,0.078068,-0.931609,2.519424,0.034579,-0.162943,-0.705186,0.560732,-0.181258,-1.499191,0.122603,0.330312,0.398587,-1.889761,0.470291,0.45155,-2.07979,-0.240038,0.347937,0.427085,1.212313,0.640566,-0.187993,-0.012616,-0.062549,-0.089926,-0.087178,-0.440922,-0.675946,-0.51593,-0.096033,1.962849,-0.11083,2.261735,-0.060814,0.411589,0.180399,0.035906,-0.095384,0.357927,-0.020438,0.253168,0.215225,-1.191071,0.218172,0.126232,-0.676027,0.075358,0.113369,-0.529949,-2.131581,0.033734,-3.036455,-0.968971,0.209368,0.417225,-3.494478,-0.038784,-3.93634,-1.103857,-1.459764,-0.102141,-0.406186,0.100698,-0.055103,-1.381892,0.049452,-0.122863,-4.555926,-0.228835,-0.056367,-0.40828,-0.287491,-0.274138,-0.276942
0.000539,0.000515,0.000574,0.000531,0.008323,0.008468,0.000731,0.008591,0.008562,0.000918,0.008605,0.000746,0.000701,0.000651,0.00052,0.000495,0.000505,0.000503,0.000371,0.000277,0.000168,0.007892,0.000182,0.0079,0.007839,0.007669,0.007553,0.007538,0.007568,0.00756,0.015466,0.007753,0.007786,0.000117,8.4e-05,0.007841,0.007787,1e-06,-2e-05,-3.8e-05,-6.7e-05,-0.000144,-0.000181,-0.000314,-0.00036,-0.008241,-0.008397,-0.008443,-0.000669,-0.000781,-0.000899,-0.001024,-0.00112,-0.001191,-0.00128,-0.001305,-0.001307,-0.001233,-0.001149,-0.001149,-0.000958,-0.000807,-0.000706,-0.000645,-0.000548,-0.000556,-0.000538,-0.000538,-0.000422,-0.000338,-0.000242,0.00799,-0.000145,0.008068,-8.8e-05,-4.1e-05,0.008095,0.008119,0.016293,0.008026,0.008055,-0.000179,-0.000163,-0.000157,-0.0001,-3e-06,1.5e-05,4.3e-05,2.1e-05,2.7e-05,6.1e-05,0.000165,0.000171,0.000185,0.000216
0.003462,-0.001714,-0.001276,-0.006545,-0.006626,-0.005628,-0.010174,-0.004718,-0.009856,-0.008793,-0.009458,-0.009892,-0.010179,-0.005432,-0.006362,-0.001463,0.003692,0.003663,-0.002386,0.002038,-0.003844,-0.004148,-0.003732,-0.004094,-0.004535,-0.005826,-0.01191,-0.006949,-0.006795,-0.012193,-0.011513,-0.010866,-0.010702,-0.009566,-0.009875,-0.010473,-0.010994,-0.010675,-0.005478,-0.005645,-0.005892,-0.006553,-0.012264,-0.013371,-0.008385,-0.008318,-0.014913,-0.009792,-0.005561,-0.011891,-0.007508,-0.013813,-0.01458,-0.009736,-0.015761,-0.015913,-0.015853,-0.015195,-0.019833,-0.019808,-0.012869,-0.017039,-0.016222,-0.015759,-0.004262,-0.009727,-0.009586,-0.004201,-0.003294,-0.002648,-0.001919,-0.001868,-0.001142,-0.001273,-0.000706,-0.000489,-0.001128,-0.000941,-0.001486,-0.001762,-0.001536,-0.001547,-0.001395,-0.001361,-0.000869,-3.2e-05,0.000112,0.000371,0.000183,0.000239,-0.005076,0.001442,0.001514,0.00164,-0.003712
0.004798,0.009411,0.009988,0.014469,0.014501,0.015811,0.021057,0.016943,0.021531,0.022722,0.021942,0.021175,0.020748,0.015547,0.014331,0.009355,0.004714,0.004668,0.008138,0.002585,0.006276,0.005978,0.006413,0.006034,0.005475,0.003844,0.007291,0.002419,0.002611,0.006917,0.007811,0.008579,0.008777,0.010179,0.009788,0.009057,0.0084,0.008789,0.004216,0.004007,0.003703,0.002871,0.006795,0.0054,0.000548,0.00061,0.0034,-0.001297,-0.007104,-0.004019,-0.009711,-0.006644,-0.007694,-0.012856,-0.0095,-0.00978,-0.009845,-0.009086,-0.003852,-0.003882,-0.006141,-0.000175,0.000926,0.001563,-0.006088,-0.001907,-0.001721,-0.006071,-0.004777,-0.003848,-0.002796,-0.002636,-0.001672,-0.001778,-0.001037,-0.000751,-0.001583,-0.001322,-0.002075,-0.00255,-0.002222,-0.002284,-0.002062,-0.002012,-0.001286,-4.7e-05,0.000164,0.000547,0.000271,0.000354,0.004778,0.00213,0.002228,0.002414,0.006772
0.000224,-0.143039,-0.049841,0.201857,0.07285,-0.006715,-0.004962,0.083102,-0.017178,-0.085015,-0.047896,-0.068134,0.035464,-0.142932,-0.082775,-0.036745,0.001413,0.002166,-0.034215,0.065703,-0.045284,0.058081,0.031257,0.154161,0.057685,-0.035097,-0.069719,0.149483,0.164733,0.226292,0.168946,-0.02718,0.015823,-0.034608,-0.081178,0.080513,0.150262,0.050695,-0.05258,0.177401,0.025828,0.208071,0.127522,0.048761,0.052957,0.030696,0.090627,0.035601,-0.004626,-0.044638,-0.465742,0.199573,0.289142,-0.079654,-0.049396,-0.048812,-0.005798,-0.007892,0.018019,-0.02215,0.18952,0.219554,0.112207,-0.064286,0.075355,-0.089866,-0.085979,0.002976,-0.021843,0.2867,-0.545972,-0.014706,0.174215,0.005924,0.047736,-1.680153,0.00757,0.150148,0.239221,-0.016023,0.144449,-0.012693,-0.002278,0.157107,0.012467,0.076801,-0.000402,0.004154,0.014501,0.157922,0.148567,0.032659,0.014769,-0.01456,-0.050998
