0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
0.002212,0.008835,0.0084,0.007999,0.015076,0.01512,0.015703,0.015769,0.022955,0.015907,0.015477,0.015031,0.015053,0.007382,0.006753,0.007317,6.2e-05,-9e-06,-0.007714,-0.007717,-0.000556,-0.000517,-0.000443,0.006709,-0.000361,-0.000317,0.006892,0.000279,0.00744,0.007362,0.014473,0.008339,0.008408,0.000645,0.007964,0.00813,0.007586,0.014935,0.000588,0.007308,0.007293,-0.000612,-0.001401,-0.001453,-0.001545,-0.001048,-0.001121,-0.001167,-0.000554,-0.001219,-0.000631,-0.000629,-0.000637,-0.00064,-0.001208,-0.000716,0.005891,-0.001362,-0.001416,-0.000843,0.005781,0.006334,0.014092,0.007623,0.007036,0.006926,0.014629,0.021774,0.014454,0.014196,0.014639,0.014509,0.007348,0.006757,-0.000164,-1e-05,-0.007645,0.000219,0.000188,0.007307,-0.000197,0.007535,0.007584,0.00746,0.007923,0.0078,0.013912,0.013782,0.013872,0.013895,0.00731,0.00755,0.007985,0.007407,0.001108,0.008056,0.007972,0.007966,0.000966,0.00096,0.008756,0.001612,0.001646,0.000829,0.000718,0.000672,0.001241,0.000404,0.007456,0.008156,0.007557
-0.018619,-0.017674,-0.014157,-0.011824,-0.011844,-0.012754,-0.019143,-0.018995,-0.01898,-0.01937,-0.014777,-0.01003,-0.00991,-0.004573,0.002682,-0.002725,-0.001332,0.000129,0.005025,0.004843,0.005495,0.004748,0.003397,0.003642,0.001463,0.000516,0.000184,-0.005684,-0.004584,-0.002886,-0.00055,-0.010554,-0.0116,-0.007329,-0.008012,-0.010409,-0.005338,-0.005929,-0.009224,-0.00352,-0.002956,0.002267,0.010711,0.011561,0.012998,0.009066,0.010161,0.010855,0.005429,0.011569,0.006182,0.006153,0.006241,0.00631,0.011398,0.007204,0.013996,0.013759,0.014564,0.009209,0.015048,0.009946,0.005057,-0.001677,0.003707,0.00374,-0.000216,0.000134,0.001252,0.003897,0.000318,0.001305,0.000738,0.005235,0.002728,0.001262,0.004973,-0.000993,-0.000709,-0.000551,0.001934,-0.002979,-0.003416,-0.002211,-0.005655,-0.00447,0.003981,0.004967,0.003976,0.003414,-0.001244,-0.003257,-0.006813,-0.002298,-0.008631,-0.007074,-0.006315,-0.00617,-0.007379,-0.007335,-0.011917,-0.012148,-0.012465,-0.00632,-0.005449,-0.00509,-0.009303,-0.003012,-0.001696,-0.006913,-0.002464
0.028865,0.019789,0.013823,0.006727,0.006035,0.005163,0.008407,0.008539,0.007839,0.008173,0.003145,-0.001749,-0.001651,-0.005228,-0.007666,-0.003443,-0.001317,0.000122,-0.003835,-0.004016,-0.004132,-0.004863,-0.006194,-0.006711,-0.008113,-0.009066,-0.010171,-0.005673,-0.005373,-0.003684,-0.002133,0.007909,0.006858,0.002295,0.000791,-0.001655,-0.006241,-0.007711,-0.009489,-0.014329,-0.013793,-0.017411,-0.018483,-0.017593,-0.016072,-0.010289,-0.00912,-0.008376,-0.004388,-0.007604,-0.003376,-0.003403,-0.003308,-0.003237,-0.007768,-0.00226,-0.005862,-0.005251,-0.004399,-0.000154,-0.004743,-0.00025,0.003604,0.006999,0.002803,0.003037,0.007821,0.007317,0.009301,0.011972,0.017943,0.018908,0.019116,0.013946,0.012286,0.010793,0.005769,0.008519,0.008787,0.008074,0.001881,0.005692,0.005263,0.006428,0.012504,0.013639,0.011535,0.012381,0.011407,0.010816,0.007249,0.005348,0.001989,-0.003059,0.001129,0.001722,0.002451,0.002579,0.00232,0.002346,0.006467,0.007147,0.006852,0.003341,0.004184,0.00453,0.009909,0.006524,0.006874,0.011294,0.006139
0.458308,-0.143209,-0.115999,0.3431,-0.099295,-0.086339,0.001215,0.074688,-0.256123,1.426551,-0.275611,-0.31313,0.214175,-0.018516,-0.256546,-0.153409,-0.204728,-0.166108,1.510401,-0.227027,-0.065333,0.442546,1.544443,-0.120456,-0.009485,0.134867,0.028881,-0.005836,-0.121825,-0.037627,0.045011,-0.056066,-0.094422,-0.1702,-0.033595,-0.092155,-0.043632,0.015884,-0.090725,-0.057089,1.609185,-0.0419,-0.033907,0.031916,0.017428,0.044397,0.024005,0.004606,5.157309,0.027963,-0.054035,0.034102,-0.014169,0.036624,0.069377,1.193086,0.07421,0.069963,0.183705,1.277799,0.067778,0.161707,0.128205,-5.003322,-4.945001,0.120504,-1.424223,0.183212,0.216642,0.269464,-1.343546,-0.164544,0.203433,0.076851,0.18337,0.045985,0.075703,0.125616,0.062148,0.20751,0.268895,0.297104,0.192643,0.343298,0.195087,0.341503,-3.954936,-1.104653,-1.123317,-0.932684,-1.122428,-0.381242,0.133382,-0.078332,0.02287,-0.012684,-3.695861,-0.995472,0.064854,-3.309856,0.132532,-3.258085,0.056636,0.369615,0.061983,-0.029488,-0.089575,-0.050241,0.202598,-0.03983,-0.047748
-0.020884,0.245661,0.132877,0.231293,0.195942,0.223663,0.23834,0.870728,0.606336,0.459988,0.665479,0.876339,0.811977,0.634725,0.969827,0.627455,0.9633,0.648522,0.937131,1.076012,0.712252,0.429647,1.057529,0.785376,0.272925,0.295865,0.32895,0.045555,0.456308,0.134123,-0.304866,-0.110441,0.184259,1.47225,0.005102,0.297853,0.493856,0.155979,0.554266,0.553409,0.647319,0.707872,0.877856,0.574731,0.61952,0.309343,0.513909,0.626575,1.580719,0.3476,0.740973,0.044748,0.404514,-0.013588,0.001823,-1.314946,-0.038914,-0.016223,-0.156089,-1.920365,-0.01467,-0.70098,-0.915361,-2.668654,-3.054157,-0.804593,-1.669422,-1.415893,-1.532758,-1.510554,-2.072076,-1.872722,-1.141121,-1.002065,-0.901363,-0.494477,-0.662538,-0.500102,-0.751859,-0.746825,-0.687247,-1.031934,-0.655612,-1.058182,-0.939668,-1.018803,-2.214768,-0.990024,-0.827235,-1.053799,-0.598962,-0.154145,-0.40655,-0.085696,-0.189528,-0.723929,-1.213815,-0.572419,-0.181945,-1.319199,-0.351491,-1.153231,-0.194749,-0.609338,-0.17156,-0.017595,0.024522,0.026419,-0.38963,-0.082394,-0.003334
-0.484623,-0.322206,-0.178652,0.039299,-0.302749,-0.334852,-0.293316,-1.223423,-0.069625,0.205657,-0.039667,0.112849,0.183951,-0.066433,0.439385,-0.068633,0.140817,0.169011,0.392982,0.437461,-0.011096,0.349103,0.072996,0.317593,0.160947,0.163753,-0.036248,0.004368,-0.778879,-0.222783,-0.459184,-0.163388,-0.241867,-2.387738,-0.004417,-0.175803,0.315232,0.111574,0.050407,0.310899,0.031654,0.420557,0.347995,0.154843,0.188611,0.056442,0.222299,0.203296,-1.553088,0.030113,0.259633,0.048699,0.282348,0.044575,0.042214,2.186941,0.05763,0.03038,0.264244,1.775507,0.073826,-0.299009,-0.273569,0.839265,0.48527,-0.270799,-0.260273,-0.616855,-0.672269,-0.42213,-0.6594,-0.634558,-0.192075,-0.120379,0.15814,0.42746,-0.228838,-0.085376,-0.042249,0.02809,-0.218308,-0.211327,0.047791,-0.237629,-0.17413,-0.148971,-3.224806,-0.837261,-1.023391,-1.175663,-1.22623,-0.358791,-0.030431,-0.134564,0.042319,-0.746734,-4.054748,-1.393888,-0.190138,-4.505597,-0.233468,-4.474648,-0.21111,-0.412034,-0.14231,-0.035709,-0.001733,-0.008928,-0.180984,-0.039742,0.042184
-7e-06,8.5e-05,2e-06,-1e-06,0.007186,0.007227,0.000147,0.0,0.00708,0.006902,0.007254,0.007163,0.007267,0.007119,0.007166,0.007122,0.007154,0.007051,0.007131,0.007168,0.00717,0.007321,0.007504,0.000434,0.00053,0.000752,0.000847,0.000876,0.000787,0.000734,0.000525,0.000385,9.1e-05,0.000126,4.4e-05,2e-05,0.000105,0.000182,0.000238,0.000294,0.000211,0.000135,2.9e-05,-2.6e-05,-0.000102,0.007061,-0.000113,-4.9e-05,-0.000141,0.006928,-0.000151,-0.000251,0.006856,-0.000326,0.006707,-0.000787,-0.001053,-0.001114,0.005977,0.005928,0.006011,0.006009,0.006006,-0.001307,-0.001287,0.006165,-0.001239,-0.001148,0.006237,0.006176,0.006228,0.006255,-0.001168,0.006414,0.006515,0.006839,0.007159,0.015143,0.015247,0.007787,0.007741,0.007726,0.0076,2.6e-05,0.000165,0.000216,0.000288,0.007865,0.000311,0.000278,0.00025,0.000223,0.000285,0.000262,0.000276,0.000318,0.000249,0.000247,0.0002,0.000163,0.000132,7.5e-05,0.007653,6.1e-05,0.007636,0.000126,0.007752,0.007749,0.007824,0.007744,0.000132
-4.6e-05,0.000523,8e-06,-5e-06,5.2e-05,0.000215,0.00095,1.2e-05,-0.000585,-0.006401,0.000535,-0.004721,-0.004267,-0.009762,-0.014218,-0.014577,-0.014439,-0.020085,-0.019682,-0.01949,-0.019638,-0.018679,-0.012465,-0.011249,-0.010519,-0.003944,0.001652,0.006744,0.006067,0.005409,0.004059,0.003026,-0.004167,0.000994,-0.004533,-0.004706,-0.004046,-0.003437,-0.002985,-0.002548,-0.00807,-0.008645,-0.009456,-0.009888,-0.010498,-0.005967,-0.005731,-0.000341,-0.005988,-0.007179,-0.006084,-0.006851,-0.007852,-0.007438,-0.009158,-0.016022,-0.018181,-0.018704,-0.015625,-0.02133,-0.015791,-0.016088,-0.016373,-0.010765,-0.010627,-0.010509,-0.01024,-0.009494,-0.010299,-0.010951,-0.015903,-0.01057,-0.010003,-0.015177,-0.014183,-0.011713,-0.009193,-0.005967,-0.005076,0.001723,0.001356,0.001214,-0.00552,0.000288,-0.003883,-0.003384,-0.002651,-0.002915,-0.007951,-0.008275,-0.008572,-0.008832,-0.008238,-0.002839,-0.002713,-0.002295,0.00264,0.002627,0.002133,-0.003923,-0.004254,0.00083,0.000644,0.000652,0.000473,0.001374,0.001791,0.001833,-0.003088,0.001878,0.001522
-5.2e-05,0.000541,5e-06,-8e-06,0.00013,0.000337,0.000985,7e-06,-0.000551,0.003168,0.000609,0.004916,0.005374,0.009447,0.014594,0.014223,0.014375,0.018324,0.018763,0.01897,0.018845,0.019846,0.016458,0.017692,0.018418,0.015339,0.011279,0.006699,0.005994,0.005324,0.003988,0.002961,0.005437,0.000972,0.00508,0.004911,0.005557,0.00615,0.006589,0.007009,0.011135,0.01058,0.009804,0.009391,0.008806,0.003691,0.003944,-0.000331,0.0037,0.002526,0.003606,0.002868,0.001878,0.002302,0.000609,0.003482,0.001359,0.000831,-0.005825,-0.00191,-0.006109,-0.006488,-0.006866,-0.011025,-0.01093,-0.010915,-0.010702,-0.009965,-0.010913,-0.011699,-0.007011,-0.011433,-0.010931,-0.00647,-0.005395,-0.002719,5.4e-05,0.003608,0.004586,0.001857,0.001443,0.00128,0.004114,0.000316,0.005999,0.006552,0.007358,0.006999,0.011778,0.011415,0.011086,0.010798,0.011449,0.007118,0.007251,0.007703,0.002865,0.002845,0.002307,0.005924,0.005564,0.000892,0.000604,0.0007,0.000414,0.001473,0.001823,0.001865,0.006701,0.001905,0.001626
0.003285,-0.061042,-0.025774,0.020207,-0.109031,3.241677,-0.037831,-0.059787,-0.051819,-0.038156,0.009938,-0.190127,-1.211255,-0.057949,-0.096504,-0.116203,-0.094096,-0.140657,-0.140785,-0.140733,-0.134404,-0.11249,-0.104672,-0.117749,-0.114482,-0.069732,0.271413,0.000938,-0.148259,-0.989217,0.021776,1.052271,-0.029575,0.316887,0.284202,-0.036336,-0.03617,-0.036775,-0.036231,-0.036555,-0.066586,0.022755,-0.06736,0.095136,-0.086678,-0.044271,-0.040227,0.003952,-0.035437,-0.035192,-0.049145,0.274875,-0.00925,-0.054625,0.08151,-0.0207,0.028282,-0.023385,0.263448,-0.02709,0.111453,0.110421,-0.008994,0.187476,0.233042,0.303392,-0.00283,-0.022077,0.001865,0.001931,-0.485311,0.401547,-1.163572,-1.371994,-0.046007,-0.082656,0.168664,0.224493,-0.46195,0.14522,0.110685,-0.024462,-0.011686,0.094234,0.217855,0.114373,0.284143,0.012178,0.099629,0.072236,0.131161,0.082912,0.245085,-0.056452,0.019141,-0.051678,-0.015638,-0.003269,0.180704,-0.036865,0.103351,4.5e-05,0.022391,-0.012467,-0.005719,0.000251,0.002114,0.00121,-0.038116,-0.006044,-0.012338
