0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
0.00181,0.007657,0.007736,0.007258,0.00721,0.007277,0.007373,0.007351,0.007355,0.007346,0.007265,0.007246,0.007189,0.00707,0.006981,-0.000146,0.006878,-4.2e-05,-0.000654,-0.001286,-0.017276,-0.018667,-0.018634,-0.024939,-0.016112,-0.014276,-0.01368,-0.00494,0.002432,-0.003948,0.003544,0.004189,0.004265,0.011489,0.004718,0.003677,0.00364,0.00892,0.007783,0.007183,0.00667,0.006153,0.005545,0.005551,0.00559,0.00485,-0.002188,-0.002964,-0.003057,0.00387,0.004448,-0.001994,-0.00145,-0.000823,-0.00095,-0.00034,0.000336,-0.000274,0.000398,-0.006524,-0.006574,-0.006467,-0.006488,-0.006535,-0.012833,-0.005842,-0.006506,0.001094,0.001127,0.008251,0.008242,0.007719,0.008424,0.007804,0.014875,0.007921,0.007369,0.00799,0.007343,0.006546,0.007141,0.006484,0.006362,0.006229,0.006249,0.01323,0.006803,-0.000325,0.006637,-0.000503,0.006374,-0.001332,0.00566,-0.001287,-0.001914,-0.00192,-0.001965,-0.002013,-0.002027,-0.001461,-0.00145,1.6e-05,-0.000625,-0.000615,0.000199,0.000247,0.00024,0.000213,0.000108,0.000806,0.000673,0.001174,0.000356,0.000968,-0.005893,0.000987,-0.005597,0.00149,0.000878,0.001006,0.001218,0.001087,0.001122,0.001334,0.000687,6.6e-05,-6e-06,-0.000132,-0.000236,-0.000246
-0.017505,-0.005782,-0.006725,-0.002783,-0.002892,-0.002725,-0.003829,-0.003343,-0.003305,-0.002998,-0.002093,-0.001613,-0.000842,0.000588,0.001558,0.001659,0.002641,0.000448,0.005398,0.010811,0.026554,0.039981,0.040972,0.036402,0.021951,0.005648,0.000383,-0.01674,-0.020057,-0.025418,-0.030395,-0.037288,-0.03815,-0.041138,-0.044616,-0.035468,-0.034757,-0.017196,-0.006589,-0.001015,0.003481,0.007835,0.01327,0.013172,0.012584,0.019536,0.018436,0.025804,0.026893,0.028584,0.023574,0.018056,0.013508,0.007997,0.009422,0.004078,-0.002035,0.003183,-0.00279,-0.003784,-0.003197,-0.004512,-0.00428,-0.003685,-0.010445,-0.010415,-0.004151,-0.009563,-0.010041,-0.011532,-0.01129,-0.006684,-0.013135,-0.007231,-0.007158,-0.008528,-0.003354,-0.008561,-0.002753,0.004567,-0.000325,0.005265,0.006516,0.007848,0.00757,0.008617,0.00295,0.003254,0.004441,0.004966,0.006753,0.011889,0.012359,0.011379,0.016378,0.016445,0.016933,0.017428,0.017559,0.013083,0.012916,0.000791,0.005922,0.005547,-0.000996,-0.001455,-0.001375,-0.001126,-0.00017,-0.005845,-0.004611,-0.008696,-0.00165,-0.006552,-0.006566,-0.006779,-0.009352,-0.011558,-0.006639,-0.007851,-0.009896,-0.00858,-0.008925,-0.010926,-0.005698,-0.000688,-1e-05,0.001259,0.002073,0.002067
0.011038,0.002857,0.001895,-0.003721,-0.00361,-0.003682,-0.004853,-0.004367,-0.004335,-0.004029,-0.003022,-0.002578,-0.001788,-0.000278,0.000747,0.001751,0.001897,0.000466,-0.004142,-0.008215,-0.019106,-0.024466,-0.023355,-0.017398,-0.004353,0.007525,0.011679,0.021925,0.027298,0.032162,0.035888,0.038491,0.037725,0.034109,0.0316,0.021811,0.022568,0.010695,0.00217,-0.001846,-0.006916,-0.012147,-0.016286,-0.016383,-0.016976,-0.019532,-0.019805,-0.021883,-0.020709,-0.019761,-0.015224,-0.010368,-0.005387,-0.001417,3.9e-05,0.004156,0.007488,0.00323,0.006717,0.006541,0.007134,0.005806,0.006039,0.006629,0.010161,0.009386,0.006147,0.009439,0.008965,0.006696,0.006937,0.002029,0.005097,0.001466,0.000712,0.000241,-0.004229,9.2e-05,-0.003648,-0.00585,-0.001203,-0.005144,-0.003876,-0.002519,-0.002803,-0.002619,0.002106,0.003284,0.003607,0.005001,0.005898,0.002378,0.001956,0.001824,-0.002684,-0.002622,-0.002148,-0.001675,-0.001554,0.003383,0.003186,0.009996,0.005664,0.005271,0.008234,0.007794,0.007856,0.008078,0.00896,0.012759,0.01389,0.0192,0.016581,0.021063,0.021771,0.020785,0.019212,0.016474,0.011933,0.01086,0.009058,0.010235,0.009934,0.008177,0.003862,-0.000603,-7e-06,0.001112,0.001736,0.001798
3.075454,0.601259,-0.072558,-0.009029,3.360634,-0.006714,-0.019013,-0.00651,-0.220445,0.109172,5.409817,1.052784,-0.321968,0.183371,-0.29496,0.011396,0.00449,-0.592858,-1.807688,-1.843084,-0.935805,-2.857217,-5.516271,-0.776761,0.91298,1.478259,0.909463,0.154412,0.120212,0.361781,0.285404,1.769462,0.598277,-0.006101,0.411479,-0.147069,-0.26176,-0.13525,-0.030361,0.202508,-0.326071,-0.284182,-0.281685,-0.065075,-0.253694,-0.409461,-0.418101,-0.271034,-0.224835,-0.345642,-0.122497,-0.330754,-0.136658,0.010484,-0.012853,0.008572,-0.037015,-0.001589,-0.047615,-0.03455,-0.052075,-0.038462,-0.035167,0.110654,0.040624,0.30862,0.161282,-0.07959,-0.088473,-0.087298,-0.076066,-0.043375,-0.074354,-0.022557,-0.040719,4.065786,-0.025734,-0.025483,-0.050694,-0.183792,-0.194145,-0.074425,-0.329203,-0.186128,-0.214608,0.056039,0.011769,-0.303247,-0.139972,-0.123731,-0.000769,-0.209568,-0.252587,-0.114438,-0.043422,-0.02999,0.065858,0.010545,-0.150727,-0.162795,0.052344,-0.024124,0.003767,-0.784886,-0.034692,-0.034688,-0.045746,-0.022138,-0.045576,-0.060814,0.106391,4.462286,-0.001839,0.152302,0.203556,0.227717,0.084679,0.043888,0.001395,-0.005673,0.377061,0.027443,0.366187,-0.357934,-1.550652,0.032664,-0.390321,-0.074623,-2.262547,-1.217362
-0.487939,0.956598,0.354445,0.114731,-1.317654,-0.02207,0.114212,-0.003529,0.366975,0.213239,0.335676,-0.380612,0.630763,0.145081,0.509297,-0.033796,-0.019656,-0.595273,-1.702378,-1.656889,0.562158,-1.513168,-1.167541,-0.555147,1.127686,1.107426,-0.359473,-0.326483,-0.341945,-0.767685,-0.257378,1.440318,0.452375,-0.042524,-0.29004,0.125118,0.295716,0.13095,-0.004802,1.294484,0.632507,0.667021,0.728631,0.371804,0.795537,0.804216,1.284075,1.00882,0.736476,0.922247,0.4671,0.769628,0.362859,0.060071,0.073163,-0.033066,-0.009338,-0.000551,0.018546,-0.009416,0.0243,0.00564,-0.003134,-0.262156,-0.185277,0.031167,-0.345545,0.012429,0.039981,0.0191,0.007042,-0.002424,0.019438,0.087158,0.007078,0.381551,0.054132,0.112031,0.106066,0.430364,0.364883,0.200682,0.76811,0.404709,0.550636,-0.065332,-0.044256,0.543141,0.153011,0.220636,-0.013639,0.434961,0.494231,0.267509,0.201496,0.267203,0.100434,0.178823,0.391426,0.375512,-0.059102,-0.020363,-0.020081,-1.883516,-0.00716,-0.007253,0.005068,-0.040778,0.006317,-0.028204,-0.312922,0.874928,-0.152277,-0.522592,-0.61982,-0.703324,-0.433236,-0.366809,-0.326857,-0.318856,-0.904853,-0.267336,-0.842864,-0.350452,-1.090016,-0.211457,-0.738214,-0.129862,-2.390886,-2.042946
3.445442,-0.634917,-0.473187,-0.143433,4.21605,0.033236,-0.153383,0.008807,0.288867,0.641773,2.978799,1.272673,0.284024,-0.08513,0.43759,0.009521,0.025631,0.36493,1.214803,1.332707,0.626256,1.85723,-2.004565,2.377174,0.494098,-0.445787,-0.315746,-0.358541,-0.36196,-0.495048,-0.555407,-1.667844,-1.150364,-0.913693,-0.660576,-0.554515,-0.435483,-0.184409,-0.018212,-0.068368,0.270964,0.292006,0.361017,0.104134,0.148004,0.211299,0.247591,0.361553,0.630316,0.814586,0.503495,0.645969,0.328591,0.121718,0.120712,0.019072,0.004806,-0.001123,-0.015984,-0.043109,-0.016816,-0.069762,-0.049197,-0.229731,-0.237192,0.238139,-0.279048,-0.044461,-0.023453,0.006253,0.000224,0.020309,-0.02952,0.007624,0.033717,3.777913,0.054044,-0.012104,0.085999,0.380876,0.300766,0.211408,0.371212,0.395971,0.21949,0.059866,0.0436,0.423654,0.431214,0.196235,0.068486,0.378106,0.459682,0.25062,0.224927,0.031387,-0.090878,-0.013638,0.207639,0.385601,0.054274,-0.003735,0.020717,1.941865,0.004471,0.004635,0.012052,-0.022757,0.013232,-0.03941,-0.204354,2.934749,-0.09437,-0.401092,-0.472331,-0.22467,-0.116566,-0.066251,0.21727,0.230058,-0.1491,0.027088,-0.108199,-0.114502,-0.376343,0.333484,0.68058,0.050804,0.474357,1.696521
0.000463,-0.006459,-0.006419,-0.00629,-0.006127,-0.006081,-0.013,-0.005959,-0.006014,-0.013059,-0.006222,-0.013297,-0.013432,-0.013646,-0.006919,-0.013914,-0.000134,-0.007101,-0.000108,-6e-05,0.006857,-3.7e-05,0.006915,-0.000126,-0.000254,-0.000297,-0.000245,-0.000173,-3.7e-05,1.1e-05,7.6e-05,0.000106,6.3e-05,6.5e-05,5e-05,0.000145,-0.006803,0.000233,-0.00658,0.000357,-0.006547,-0.006627,-0.006614,-0.006698,-0.006733,-7e-06,-2.6e-05,-8.8e-05,-2.7e-05,-3.7e-05,-4e-05,-7.9e-05,-2.1e-05,-2.3e-05,-1e-06,-0.0,0.0,2e-06,3e-06,2e-06,1e-06,0.006956,1.8e-05,3e-06,2.2e-05,6.8e-05,7.6e-05,6.5e-05,0.000154,0.000121,0.000107,5.5e-05,-6.5e-05,4e-06,3.2e-05,0.000102,0.00015,8e-05,3.3e-05,-5e-06,-6.7e-05,-5e-05,6e-06,-2e-06,-2e-06,-1e-06,-2e-06,0.0,-0.0,-4e-06,-2e-06,3.7e-05,-5.3e-05,-1e-06,-2.7e-05,-0.00011,-0.000171,-0.00022,-0.000227,-0.00025,-0.000188,-0.007159,-0.000162,-0.000192,-0.00019,-0.000271,-0.000373,-0.000464,-0.00067,0.006168,-0.001031,-0.001245,-0.008259,-0.001308,-0.001301,-0.001167,-0.001008,-0.000753,-0.000622,-0.007718,-0.007526,-0.000201,-0.007294,-0.007135,5.5e-05,1e-06,-5.9e-05,2e-06,2e-06,-1e-06
0.014162,0.010886,0.011369,0.012985,0.015079,0.015448,0.016637,0.015708,0.01452,0.0129,0.010163,0.008059,0.00604,0.003016,0.000312,-0.000333,-0.001696,-0.001737,-0.001226,-0.006288,-0.001111,-0.000423,-0.000466,-0.007145,-0.002964,-0.003532,-0.002926,-0.002066,-0.000459,0.000115,0.000891,0.001248,0.000731,0.000771,0.000596,0.001705,0.001957,0.002725,-0.001163,-0.001439,-0.000871,-0.0018,-0.001683,-0.002609,-0.002974,-0.010772,-0.005568,-0.011597,-0.005564,-0.005672,-0.011057,-0.011486,-0.005531,-0.005529,3.6e-05,-5e-06,-7e-06,-4e-06,1e-05,-2e-06,-1.1e-05,-0.000314,0.000201,2.8e-05,0.000229,0.000723,0.00081,0.000688,0.001646,0.001304,0.001149,0.000592,-0.000694,2.6e-05,0.000351,0.001087,0.001596,0.000857,0.000363,-4.8e-05,-0.000711,-0.005932,7.6e-05,-1e-06,-0.0,1e-06,-0.0,1.3e-05,-5e-06,-4.1e-05,3e-06,0.000396,-0.000554,3e-06,-0.000272,-0.00115,-0.001811,-0.002343,-0.002411,-0.002652,-0.001995,-0.001734,-0.001712,-0.002001,-0.001987,-0.002813,-0.00385,0.000539,-0.001584,-0.008889,-0.005257,-0.007403,-0.006744,-0.007861,-0.012949,-0.011543,-0.00984,-0.00726,-0.005923,-0.005127,-0.003221,-0.001867,-0.000984,0.000499,0.000503,1.3e-05,-0.000562,1.1e-05,1e-05,7e-06
0.004241,0.010627,0.011046,0.012477,0.014307,0.014573,0.015653,0.014459,0.013302,0.011864,0.009182,0.007409,0.00561,0.002932,0.00042,-1.7e-05,-0.001489,-0.001392,-0.001075,0.003444,-0.001107,-0.000374,-0.000543,0.002688,-0.002615,-0.003123,-0.002588,-0.001831,-0.000405,0.000104,0.00079,0.001107,0.000649,0.000686,0.00053,0.00151,0.001859,0.002406,0.008089,0.007711,0.008326,0.007504,0.007596,0.006789,0.006468,0.008513,0.004103,0.007807,0.004111,0.004018,0.00829,0.007926,0.004146,0.004152,3.1e-05,-5e-06,-5e-06,-6e-06,6e-06,-4e-06,-1.1e-05,-0.000386,0.000175,2.2e-05,0.000198,0.000627,0.000702,0.000596,0.001423,0.001126,0.000994,0.000511,-0.000598,2.3e-05,0.000304,0.000938,0.001376,0.000738,0.00031,-4.2e-05,-0.000612,0.003803,6.8e-05,-1e-06,-0.0,1e-06,-1e-06,1e-05,-4e-06,-3.7e-05,5e-06,0.000344,-0.000476,5e-06,-0.000232,-0.00099,-0.001563,-0.002026,-0.002086,-0.002296,-0.001728,-0.001392,-0.001486,-0.001739,-0.001732,-0.002453,-0.003365,-0.00853,-0.01042,-0.007965,-0.013754,-0.015769,-0.015129,-0.016357,-0.011927,-0.01068,-0.009178,-0.006817,-0.005587,-0.004771,-0.002979,-0.001772,-0.000864,0.000546,0.00048,1.2e-05,-0.000537,1.1e-05,1.1e-05,8e-06
-0.007371,0.018508,0.014359,-0.293462,0.012876,0.006411,0.00487,0.000722,0.000731,-0.000109,0.007494,0.005681,-0.001951,-0.004575,-0.001269,-0.002172,1.555268,-0.001859,-6.2e-05,-0.035569,-0.000415,0.004728,0.000912,-0.035601,-0.003934,-0.00078,-2.9e-05,-4e-06,-8e-06,3e-06,4e-06,6e-06,0.006771,4.4e-05,1.1e-05,0.000467,-0.001079,-0.193982,-0.033981,-0.034743,-0.035957,-0.035926,-0.036066,-0.036655,-0.038506,-0.03048,-0.036587,-0.072219,0.050829,-0.046635,-0.071146,-0.071969,-0.039847,-0.036086,1.8e-05,2.7e-05,0.004954,2.9e-05,2.5e-05,2.8e-05,2.8e-05,0.000995,0.003248,7.2e-05,2.1e-05,0.001318,2.5e-05,2.1e-05,0.000724,3e-06,0.000719,4e-06,-0.000704,1e-06,-8e-06,1e-06,-0.041696,0.00066,1.5e-05,-0.000155,-0.00077,-0.035599,-0.000266,-8.4e-05,-7.6e-05,-4.9e-05,-2.3e-05,-2.5e-05,-1.9e-05,-2.1e-05,-2.1e-05,-0.000824,-9.4e-05,-5.1e-05,-0.000226,-0.00084,-0.000789,-0.002085,-0.000983,-0.000805,-0.000777,-0.00191,-0.000826,0.004155,-5.8e-05,-0.000753,0.013811,-0.261427,0.036444,-0.000466,0.043667,0.046047,0.01348,0.046232,-0.002398,0.016105,0.298441,-0.001171,-0.002687,-0.005472,0.038935,-0.001246,-0.001975,-0.001278,-0.000171,-0.000271,-0.000175,-0.000112,-8.2e-05,-0.003238
