0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0.030196,0.029848,0.037584,0.038327,0.03865,0.038829,0.047347,0.039463,0.031877,0.023766,0.016131,0.016184,7e-06,-0.008492,-0.009165,-0.009766,-0.018229,-0.018233,-0.018239,-0.025515,-0.017176,-0.016118,-0.016658,-0.008334,-0.016122,-0.008319,-0.000513,3e-06,5e-06,0.007805,0.00781,0.015677,0.015591,0.015616,0.015632,0.015637,0.015654,0.007837,0.007828,-1.2e-05,-0.000147,-0.008043,-0.015824,-0.023565,-0.023442,-0.022856,-0.023339,-0.015034,-0.0073,0.000909,0.009098,0.00955,0.025454,0.017748,0.025507,0.025069,0.024602,0.024778,0.024997,0.024059,0.016421,0.016034,0.016172,0.008422,0.008559,0.016435,0.008544,0.016319,0.016202,0.00821,0.008148,0.00735,-0.000638,-0.000689,-0.008599,-0.008556,-0.009115,-0.009052,-0.008386,-0.008354,-0.00833,0.000151,0.000135,0.008059,0.007411,-0.000492,0.007337,-0.000515,-0.000573,-0.000634,-0.000631,0.00718,0.007163,0.007782,-4.8e-05,-6e-06,0.007859,0.007863,3e-05,0.007918,-0.000549,0.000121,-0.000444,0.000189,0.00019,0.000205,-0.000437,0.000206,0.000162,0.000142,-0.000524,-0.000539,-0.000567,-0.000617,-3e-05,-0.000739,-0.00012,-0.008051,-0.008095,-0.008149,-0.008195,-0.008123,-0.015949,-0.008146,-0.008067,-0.008061,-0.007435,-0.007407,-0.000312,0.000292,0.000842,0.007902,0.000734,0.000676,-4e-06,0.007739,0.007745,0.007798,0.007309,0.015063,0.015235,0.023079,0.023157,0.023266,0.023377,0.031094,0.02409,0.016355,0.016328,0.008657
-0.016276,-0.012271,-0.014643,-0.020262,-0.020517,-0.02035,-0.023824,-0.017911,-0.01809,-0.012244,-0.012857,-0.012908,-0.007591,-0.00032,0.007322,0.013601,0.020321,0.021234,0.022154,0.016621,0.013861,0.003339,0.010228,0.006397,0.00553,0.006249,0.006255,-0.000374,-0.000474,-0.000399,-5.9e-05,0.000882,0.001077,-4.7e-05,-0.000243,-7.2e-05,-0.000447,-0.000378,-1.5e-05,0.000379,0.003842,0.006176,0.006,0.00631,0.00497,-0.000617,0.004868,-0.000791,0.000858,-0.003243,-0.00654,-0.011266,-0.015623,-0.015929,-0.017903,-0.014959,-0.011226,-0.014427,-0.017504,-0.009078,-0.010884,-0.007494,-0.008914,-0.009676,-0.011095,-0.010167,-0.009341,-0.007047,-0.004679,-0.00354,-0.002482,0.005013,0.005593,0.006184,0.005957,0.005554,0.010218,0.009406,0.003536,0.003141,0.002791,-0.001992,-0.001804,-0.001994,0.003827,0.003717,0.004887,0.00406,0.00484,0.005644,0.005612,0.006824,0.006952,0.001556,0.00065,7.8e-05,0.000472,0.000454,-0.000387,-0.000212,0.00435,-0.001511,0.003068,-0.002316,-0.00234,-0.002533,0.002987,-0.002569,-0.001993,-0.001757,0.004086,0.004271,0.004645,0.00527,0.000415,0.006793,0.001543,0.001821,0.002563,0.00334,0.004125,0.004145,0.003036,0.00424,0.003307,0.003433,-0.002314,-0.002618,0.00485,-0.000572,-0.005239,0.00233,-0.003712,-0.002902,0.003594,0.003923,0.003632,0.00228,0.005943,0.00567,0.003198,0.001949,0.000509,6e-05,-0.000717,0.00029,-0.005845,-0.006043,-0.005525,-0.006564
-0.011019,-0.017039,-0.020868,-0.017322,-0.018117,-0.018173,-0.012912,-0.016132,-0.015638,-0.018733,-0.018541,-0.019018,-0.021531,-0.022429,-0.02383,-0.026968,-0.028462,-0.02728,-0.026068,-0.020961,-0.014082,-0.005134,-0.007371,-0.001903,-0.00215,-0.002135,-0.003102,-0.000519,-0.000661,-0.001533,-0.001068,-0.000655,-0.000519,-0.002123,-0.002429,-0.002228,-0.002773,-0.001631,-0.00113,0.000517,0.005372,0.009675,0.010456,0.011811,0.009824,0.013721,0.009477,0.012362,0.013555,0.018606,0.024656,0.029651,0.033306,0.033726,0.030119,0.022608,0.016173,0.012073,0.008122,-0.003529,-0.004828,-0.011547,-0.013752,-0.013724,-0.015759,-0.015873,-0.013781,-0.011936,-0.008823,-0.006104,-0.004656,-0.006072,-0.004018,-0.003199,-0.00227,-0.002828,-0.008129,-0.009241,-0.005612,-0.006165,-0.006656,-0.002745,-0.002488,-0.003986,-0.007691,-0.006629,-0.006232,-0.006156,-0.005068,-0.003946,-0.003989,-0.003533,-0.003358,0.000928,0.0009,0.000102,-0.0006,-0.000626,-0.000546,-0.001559,-0.005751,-0.002111,-0.007554,-0.003256,-0.003297,-0.003572,-0.007697,-0.003638,-0.002826,-0.002493,-0.006161,-0.005897,-0.005367,-0.004477,0.000593,-0.002295,0.002202,0.003866,0.004903,0.005992,0.007065,0.007239,0.006684,0.007107,0.005772,0.00591,0.009703,0.009253,0.006612,0.010847,0.016079,0.01352,0.01804,0.019039,0.016121,0.015327,0.014902,0.013066,0.006501,0.005008,0.001808,-0.000966,-0.002885,-0.003481,-0.004553,-0.004564,-5.9e-05,0.000874,0.001511,0.001429
-0.205299,-0.114253,1.50643,-0.134142,-0.132675,-0.095616,-0.080771,-0.069445,-0.072138,0.003381,5.441548,0.461638,1.617694,1.734733,0.141621,0.150828,0.273017,0.376771,0.747165,0.219466,0.197091,0.126563,0.104127,0.070723,0.084088,0.068457,0.609372,0.179388,0.187448,0.06526,1.632596,5.397612,0.075088,0.129526,0.477888,0.020784,0.010537,0.014057,0.001159,-0.008271,0.016145,0.123867,0.128642,0.236418,0.052998,-0.227688,-0.23809,0.185366,0.149976,0.159327,-1.43834,-0.113429,-1.401205,-0.125549,-0.203087,-0.083051,-0.16858,-0.136215,-0.158318,-0.157997,-0.095776,5.355958,0.393257,-0.073618,0.121922,0.020715,0.077963,0.119018,0.249981,0.114467,1.660693,0.23993,0.598763,0.289688,0.112655,0.435966,0.138391,0.153431,0.117023,0.090651,0.094724,0.066945,0.056083,0.034875,0.068057,0.067967,0.060196,0.486357,0.077357,0.201797,0.060416,0.049995,0.049602,0.032818,0.01394,0.026123,0.152795,0.019463,0.027312,0.090454,0.193938,0.503665,0.143366,0.149125,0.144255,0.013354,0.07195,0.011554,0.252465,0.280172,0.270488,0.308187,0.143713,0.207015,0.462662,0.389608,0.355444,0.488552,0.380764,0.857948,0.521701,-3.994581,0.444314,0.496368,0.415443,0.333707,0.475831,0.159112,0.462131,0.14773,-0.015598,0.44314,0.320975,0.42484,0.298266,0.416205,0.017211,-0.62121,0.581358,0.066106,-8.9e-05,0.247759,-3.487493,0.092181,1.534154,0.467885,0.212416,-0.01348,0.34552,-0.041017
1.031247,0.775096,0.844587,0.898382,1.024756,0.592175,0.332926,0.467789,0.56203,0.951025,0.010344,1.076016,-0.613519,0.327816,0.502502,1.173296,0.443351,0.509318,-0.563626,0.649302,-0.269169,-0.450564,-0.316207,-0.318459,-0.632084,-0.365967,-1.92247,-0.370387,-0.404807,-0.545316,0.133706,0.992487,-0.392754,-0.564966,0.040069,-0.249433,-0.116244,-0.123717,-0.015505,-0.000135,-0.083619,-0.487367,-0.4103,-0.785735,-0.327266,-1.106024,-0.916329,-0.745773,-0.526008,-0.742471,-0.949693,0.925213,-0.493332,-0.015191,0.208806,-0.116603,-0.220357,0.662913,0.484419,1.337658,1.912745,1.47386,1.568672,1.528608,1.660572,1.339895,1.67356,1.510269,1.152177,1.012467,0.765179,0.460063,0.709897,0.879992,0.677577,-0.063756,0.199678,0.562176,0.562172,0.169242,0.695444,0.027936,0.477164,0.157572,0.208295,-0.118514,-0.230986,-0.039856,-0.334022,-0.338011,-0.216121,-0.001577,-0.12922,-0.238957,-0.108103,-0.209154,-0.277403,-0.211606,-0.25553,-0.689446,-0.841806,-0.79474,-0.584822,-0.670769,-0.692877,-0.192852,-0.291944,-0.205611,-0.886716,-0.904724,-0.783251,-0.836384,-0.482149,-0.598516,-0.98697,-1.064443,-0.983682,-1.189021,-0.960971,-2.384318,-1.186683,-4.012264,-1.003489,-1.055311,-0.823867,-0.635786,-0.904058,-0.490191,-0.811747,-0.388397,-0.195151,-0.763355,-0.605195,-0.828933,-0.494919,-0.672604,-0.525188,-1.448765,-0.797181,-0.753842,-0.637872,-0.380534,-1.9016,-0.323256,1.347553,-0.65126,-0.194596,-0.487154,-0.468927,0.057645
-0.260186,-0.390055,0.309366,-0.126323,0.173362,-0.09479,-0.068097,0.095958,0.111795,0.332351,0.216474,0.387906,2.570995,0.890819,0.824018,0.288907,0.587284,1.096602,2.809113,0.536448,0.556365,0.632307,0.470306,0.486505,0.23877,0.513793,2.711614,0.438435,0.41684,0.3916,0.52728,0.215517,0.048329,0.174681,0.263661,0.389965,0.206369,0.195641,0.029012,-0.000208,-0.021193,-0.301307,-0.28847,-0.581455,-0.029624,-0.316874,-0.406892,-0.291849,-0.434337,-0.672506,-1.012319,-3.158311,-2.043317,-0.740295,-0.704838,-0.713314,-0.802365,-0.549423,-0.232587,-0.126774,-0.842002,0.442124,-0.237361,-0.084229,-0.031389,0.055352,0.209607,0.409564,0.403961,0.558616,-0.314059,0.275117,0.238004,0.473019,0.378133,0.928644,0.104779,0.57378,0.551891,0.310002,0.402679,0.214146,0.516475,0.327931,0.381624,0.40982,0.381668,0.122729,0.514256,0.55301,0.353385,0.533477,0.212007,0.355613,0.166428,0.335835,0.368114,0.374462,0.308196,0.036743,-0.055601,0.914808,0.076823,-0.011072,0.218232,0.319247,0.271396,0.312931,-0.121243,-0.116032,-0.025274,-0.105497,0.180376,0.101914,0.857554,-0.180522,-0.15087,-0.34064,-0.180573,2.175852,-0.096152,-1.332165,-0.011132,0.027223,-0.089778,-0.167777,-0.165836,0.116792,-0.286156,-0.019499,-0.12321,-0.193817,-0.400652,-0.276209,-0.258239,-0.186057,-0.73974,-1.506836,-0.482531,-0.584682,-0.567064,-0.134917,-3.943702,-0.919303,-2.219846,-0.57998,-0.547789,-0.849247,-0.539126,-0.201216
-0.006934,-0.006862,0.000579,0.000488,0.000396,0.000382,0.000232,0.000318,0.000404,0.000511,0.000464,0.000626,0.000598,0.000734,0.000387,0.000449,0.000193,0.00772,0.007336,0.007336,0.007065,0.01431,0.006724,0.006426,0.013733,0.013721,0.005984,0.005811,0.005926,0.005966,-0.001601,-0.001443,-0.001407,-0.001304,-0.001144,-0.000964,-0.000883,0.007066,-0.000542,0.007372,0.0076,0.0077,0.00759,0.007403,0.015111,0.014896,0.022661,0.022491,0.014646,0.014665,0.007116,-0.000418,-0.000115,7e-06,0.000153,0.000419,0.000492,0.00067,0.000937,0.008943,0.009095,0.001579,0.00946,0.009509,0.001613,0.001515,0.001424,0.001256,0.000951,0.000612,0.000427,0.000139,-4.9e-05,-3e-05,-2.6e-05,0.007723,8.6e-05,0.000132,0.000112,0.000146,8.5e-05,-0.007582,-0.007697,-5.9e-05,-0.000169,-0.000312,-0.000468,-0.000552,-0.000643,-0.000723,-0.000764,-0.000828,-0.000841,-0.000836,0.00696,-0.000834,-0.0008,-0.00078,-0.000712,-0.000713,-0.000589,-0.000553,-0.000471,0.007488,-0.000451,-0.000422,-0.00034,-0.000364,0.007541,-0.000352,0.007698,-0.000159,0.007823,-4.6e-05,-7.5e-05,-6.7e-05,0.00792,-0.000168,-0.000217,0.007743,-0.000369,0.007478,0.007472,0.007485,-0.000471,-0.000372,-0.000308,-0.00023,-0.000265,-0.000243,-0.000359,-0.000454,-0.000481,-0.000524,-0.000564,-0.000583,-0.000599,0.007575,0.007722,0.007774,0.007998,3.8e-05,0.000117,0.008277,0.000179,0.000138,0.000221,0.008448,0.008414,0.008382
-0.000874,-0.000464,-0.001255,-0.001786,-0.002324,-0.002408,-0.008024,-0.0075,-0.00698,-0.00632,-0.011305,-0.010327,-0.010468,-0.004906,-0.011731,-0.006621,-0.008203,-0.004005,-0.006213,-0.00147,-0.00326,-0.010378,-0.01048,-0.012658,-0.015018,-0.015317,-0.016404,-0.022916,-0.017298,-0.017168,-0.021333,-0.020211,-0.019948,-0.019143,-0.017997,-0.011675,-0.011099,-0.005527,-0.003756,-0.00355,0.003073,0.003764,0.008102,0.011894,0.010738,0.00918,0.013656,0.012363,0.012515,0.012694,0.009878,0.018149,0.015232,0.010893,0.006701,0.003471,-0.001367,0.000182,0.00249,0.004387,0.01134,0.008417,0.004405,0.005098,-0.007258,-0.008005,-0.008746,-0.004704,-0.013026,-0.010611,-0.012339,-0.009515,-0.011289,-0.005663,-0.005658,-0.005206,-0.004652,-0.004227,-0.009953,-0.009615,-0.004639,-0.009678,-0.005187,-0.005967,-0.006946,-0.008249,-0.004191,-0.010396,-0.005765,-0.006445,-0.012223,-0.007328,-0.012846,-0.012791,-0.013102,-0.007282,-0.00698,-0.006784,-0.006421,-0.006191,-0.005238,-0.004805,-0.004089,-0.003838,-0.003909,-0.00365,-0.008451,-0.003149,-0.00916,-0.003073,-0.002429,-0.00693,-0.007131,-0.005914,-0.006165,-0.006086,-0.006282,-0.001446,-0.001911,-0.008052,-0.008928,-0.005053,-0.010815,-0.010824,-0.009972,-0.003432,-0.008518,-0.002151,-0.002441,-0.00226,-0.00332,-0.004191,-0.004428,-0.00484,-0.00521,-0.005412,-0.005569,-0.011119,-0.009909,-0.003702,-0.007486,-0.00545,-0.004697,-0.004887,-0.004083,0.001452,0.00222,-0.003104,0.002617,0.002372
0.009649,0.01014,0.009325,0.008663,0.007995,0.007888,0.011878,0.012503,0.013123,0.013897,0.018632,0.019782,0.019575,0.015464,0.01804,0.013419,0.011568,0.00603,0.003462,-0.001582,-0.003672,-0.001295,-0.00154,-0.004124,-0.006863,-0.00726,-0.008754,-0.005922,-0.010026,-0.009936,-0.004401,-0.003112,-0.002825,-0.001891,-0.000505,-0.0037,-0.002987,-0.006997,-0.004859,-0.004481,-0.007231,-0.006342,-0.012049,-0.018488,-0.019949,-0.022076,-0.027589,-0.029446,-0.029424,-0.029268,-0.021572,-0.022044,-0.01432,-0.008532,-0.002528,0.004761,0.009847,0.011925,0.014986,0.017447,0.015124,0.022495,0.028332,0.029054,0.035387,0.034197,0.033056,0.027,0.027619,0.019652,0.017556,0.010152,0.008025,0.003992,0.003995,0.004515,0.005204,0.005713,0.009637,0.01004,0.005223,0.009998,0.004596,0.003642,0.002468,0.000905,-0.005027,-0.001692,-0.006967,-0.007832,-0.004026,-0.00899,-0.004879,-0.004872,-0.005292,-0.009151,-0.008823,-0.008631,-0.008192,-0.00795,-0.006765,-0.006218,-0.005314,-0.004994,-0.005118,-0.004789,0.000305,-0.004159,-0.000638,-0.004075,-0.003222,0.002278,0.002021,0.003633,0.003296,0.003401,0.003144,-0.001935,-0.002564,0.000762,-0.000431,-0.006831,-0.003025,-0.00307,-0.001936,-0.004712,2.8e-05,-0.002963,-0.003372,-0.003123,-0.004603,-0.005835,-0.006174,-0.006781,-0.007338,-0.007662,-0.007906,-0.003866,-0.002179,-0.005346,0.001274,0.00423,0.005317,0.005006,0.006194,0.002081,0.00318,0.007532,0.003668,0.003299
-0.029601,-0.084521,-0.027873,-0.025627,-0.020783,-0.022408,-0.055456,0.06606,-0.069864,-0.068867,-0.104657,-0.096315,-0.12515,-0.055042,-0.517966,-0.485267,-0.071746,-0.638414,-0.43952,0.002984,-0.013663,-0.049503,-0.036744,-0.033455,-0.0337,-0.044045,-0.146438,0.138749,0.065755,0.060139,0.124462,-0.298726,0.052129,-1.190026,-0.009579,-0.01006,-0.022597,-0.008851,0.156625,-0.006823,0.031216,0.068603,0.085582,0.122152,-0.255115,-0.197366,0.126312,0.054398,0.982252,-0.166855,-0.187656,-0.19191,0.434184,0.019371,1.091846,-0.208818,-0.019044,-0.03675,-0.032001,-0.034097,0.002359,-0.124334,-0.056553,-0.062073,-0.139195,-0.139656,-0.289873,-0.092618,-0.135447,-0.106213,-0.010858,-0.085215,0.04527,-0.047528,-0.040181,1.126379,-0.05366,-0.052025,-0.088477,-0.083464,0.099757,-0.076475,0.068319,0.1797,0.064662,-0.034747,-0.018726,-0.020973,-0.004667,-0.009256,-0.041117,-0.001482,-0.006912,-0.051818,0.03746,-0.011721,0.244703,-0.002521,-0.756414,0.126099,-0.522193,0.358821,-0.016737,0.010279,-0.019814,-0.01629,-0.006365,0.2753,-0.137199,0.258765,0.137614,-0.034386,-0.971747,0.094846,0.037615,0.008733,0.267539,0.000406,0.238962,0.230067,0.099852,-0.00934,-0.049134,0.211351,0.160117,-0.00147,-0.030074,0.386204,-0.00262,0.000229,0.005147,-6.3e-05,-0.000519,0.00533,-0.001486,0.004032,-0.016172,0.082541,-0.025535,0.003784,-0.038489,-0.030425,0.023768,-0.026326,-0.046832,0.014302,-1.298909,-0.054667,-0.001307,0.01839
