0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0.006355,0.007353,0.001202,0.000877,-0.004239,0.002353,-0.003556,-0.003625,0.001432,-0.004022,0.001778,0.001542,0.007728,0.007462,0.01341,0.013446,0.013918,0.014187,0.008214,0.008151,0.007787,0.007313,0.006947,0.005106,-0.000323,-0.001629,-0.001624,-0.001462,-0.001524,-0.001966,-0.000825,-0.000342,0.000229,0.00072,-0.004918,-0.004655,0.001255,0.000833,0.000664,0.00029,-0.000207,-3.4e-05,-0.000435,-0.000849,0.005292,-0.000723,-0.000703,-0.000275,0.005846,-0.000328,0.005679,1.4e-05,0.000785,-3.3e-05,-0.004292,-0.003728,0.002034,0.001947,0.008175,0.00184,0.006444,0.00129,0.000735,0.000789,0.006704,0.006319,0.006007
-0.009734,-0.013018,-0.012212,-0.009491,-0.013687,-0.01259,-0.012713,-0.010914,-0.004803,-0.007884,-0.005935,-0.005142,-0.004266,-0.003326,-0.001546,-0.001619,-0.003021,-0.00378,-0.005424,-0.005145,-0.003913,-0.002396,-0.001221,0.006238,0.001023,0.006919,0.006791,0.006291,0.006484,0.007863,0.002486,0.001069,-0.000731,-0.002269,-0.005022,-0.005882,-0.003944,-0.002606,-0.002077,-0.000908,0.000644,0.000356,0.001356,0.002666,0.00388,0.002266,0.002203,0.000859,0.002112,0.001024,0.002617,-4.3e-05,-0.002434,0.00181,-0.006945,-0.008768,-0.006316,-0.006031,-0.004978,-0.005712,0.002138,-0.003677,-0.002275,-0.00215,-0.000331,0.000863,0.001818
0.038491,0.036365,0.029924,0.024107,0.022075,0.014706,0.007733,0.001344,-0.002967,-0.004346,-0.003705,-0.003218,-0.003273,-0.002699,-0.002186,-0.002239,-0.003157,-0.003668,-0.00412,-0.003967,-0.003188,-0.002211,-0.001445,-0.00427,0.000671,-0.003282,-0.003256,-0.003577,-0.003448,-0.00255,0.001625,0.000702,-0.000465,-0.001465,-0.002633,-0.003188,-0.00257,-0.001705,-0.001361,-0.000593,0.000427,4.4e-05,0.000901,0.001754,0.001903,0.001481,0.001435,0.000558,0.000737,0.000665,0.001067,-2.9e-05,-0.001586,-0.006486,-0.003899,-0.005101,-0.004154,-0.003991,-0.003971,-0.0038,-0.006986,-0.002605,-0.001527,-0.001562,-0.000909,-0.000105,0.00054
-0.118237,1.350347,-0.114083,1.224246,-0.079575,4.159464,1.350245,1.748721,1.149258,4.540415,-0.011409,-0.117597,-0.223168,-0.139378,-0.104967,0.004314,1.412699,-0.122526,-0.053231,-0.132558,0.413239,0.048226,0.415344,-0.05382,-0.080358,5.384209,-0.019013,0.013686,-0.048805,-0.061786,-0.316365,0.070916,0.044825,-0.072786,1.527504,-0.050068,-0.01081,0.000523,0.002428,0.141552,-0.062723,5.507801,0.075042,-0.064328,-0.069715,-0.00999,0.021633,-0.001766,0.004172,0.040416,0.071109,0.067533,0.000489,0.048369,1.687818,-0.00649,0.070966,0.079983,0.065167,-0.047627,-0.391034,-5.37723,0.095501,-5.309107,-0.015809,-0.344032,-1.429955
0.504464,2.112602,0.599247,0.065647,0.533891,-0.661719,2.060396,1.959603,0.603991,-0.784625,0.950534,0.969506,1.036167,0.829752,0.579838,0.805817,0.376978,0.798221,0.167015,0.641806,0.178818,0.815271,0.213101,0.710052,0.261263,-0.682278,0.510126,0.054297,-0.448873,0.568959,-0.774774,0.470066,0.780482,0.351082,0.814838,0.291292,0.064019,-0.01077,-0.053161,0.022097,0.490583,0.030324,0.721124,0.541193,0.571105,0.042266,-0.049718,-0.001915,-0.028264,-0.425623,-0.602131,-0.605704,0.006438,-0.110737,-0.006517,-0.120211,-0.720425,-0.810307,-1.076321,-1.117266,-0.867781,-1.310078,-0.9751,-1.246676,-1.219197,-1.123107,-1.066434
-0.780152,-2.083546,-0.816721,0.5726,-0.680041,2.699255,-1.908192,-1.698115,0.967354,2.303311,-0.181678,0.031465,0.11298,0.273744,0.15625,0.265726,0.69145,0.16261,0.102572,0.378249,0.263172,0.537712,0.256129,0.487352,0.236266,0.362134,0.324598,0.049014,0.818606,0.359316,2.744487,0.059564,0.245311,0.208099,0.182216,0.102658,0.00123,-0.007033,0.166406,0.238778,0.29467,0.314581,0.710177,0.185422,-0.016345,-0.139154,0.028256,-0.015355,0.013988,-0.26356,-0.0968,-0.133526,-0.030001,-0.07645,-0.250947,-1.244305,-0.464364,-0.520127,-0.685647,-0.944279,-0.532925,-1.639832,-0.618869,-1.781911,-0.746675,-0.625699,-1.27647
-0.003889,-0.009873,-0.002704,-0.00207,-0.007011,-0.000281,9e-06,0.000176,0.000269,-0.000848,-0.00155,0.003729,0.002889,0.002497,0.001051,0.000669,6.8e-05,-0.000427,-0.005981,-0.005577,-0.005688,-0.005316,-0.005224,-0.005597,-0.000808,-0.000796,-0.001632,-0.00159,0.004509,-0.001953,-0.002008,-0.001321,-0.001284,0.000475,-0.005216,0.001462,-0.004226,0.001419,-0.000226,-0.000538,-0.001459,-0.002491,-0.002473,-0.003897,-0.005074,-0.006026,-0.006492,-0.007145,-0.007306,-0.006858,-0.000984,-0.006448,-0.004746,-0.01055,-0.002286,-0.001682,0.004251,0.005178,-0.001306,-0.001602,-0.00083,-0.000332,-0.000929,-0.000991,-0.000866,-0.00087,-0.000966
0.009109,0.011905,0.012569,0.010698,0.020022,0.015857,0.016648,0.01713,0.01734,0.01042,0.008327,0.000494,-0.001963,-0.0031,-0.014563,-0.015713,-0.017532,-0.019011,-0.012024,-0.010814,-0.011154,-0.006473,-0.006207,-0.003761,-0.013057,-0.009473,-0.011988,-0.008289,-0.013745,-0.012998,-0.013141,-0.01111,-0.010949,-0.002146,0.001029,0.000797,0.007519,0.00425,-0.004241,-0.005171,-0.007931,-0.011015,-0.007367,-0.011602,-0.015069,-0.017836,-0.01918,-0.021004,-0.021365,-0.016385,-0.023092,-0.018646,-0.01367,-0.01008,-0.002924,-0.004828,-0.011744,-0.005467,-0.003744,-0.008251,-0.002381,-0.000953,-0.006317,-0.006497,-0.006137,-0.006147,-0.006418
0.006859,0.008814,0.009469,0.01623,0.014724,0.019822,0.02017,0.02031,0.020296,0.023228,0.02159,0.024156,0.022384,0.021556,0.029628,0.02887,0.027703,0.026787,0.023505,0.024307,0.024105,0.019293,0.019464,0.013217,0.015156,0.009623,0.008062,0.002621,0.006983,0.007447,0.007385,0.008656,0.008777,0.006491,0.008501,0.008337,0.004727,0.00265,0.00516,0.004583,0.002868,0.000935,-0.004616,-0.007329,-0.009616,-0.011528,-0.012494,-0.013897,-0.014372,-0.019209,-0.015854,-0.01307,-0.009702,-0.00731,-0.0104,-0.003488,-4.7e-05,-0.003835,-0.002731,0.002331,-0.001742,-0.000696,0.003745,0.003613,0.003877,0.00387,0.003671
-0.291949,0.003395,3.137732,-0.022327,0.768405,-0.025562,-0.226331,3.284521,-0.032297,-0.061576,-0.069201,-0.102347,-0.102487,-0.104937,1.762418,1.790372,1.780108,-0.14131,-0.126914,0.6207,-0.335513,-0.101436,0.56779,0.257078,-0.038886,-0.252889,-0.121539,3.584721,3.572225,-0.071387,3.576124,1.049023,3.671654,0.020374,-0.073152,0.201342,-0.106621,-0.071564,-0.039421,-0.032317,-0.034885,-0.029637,-0.001012,-0.001998,0.344043,0.004221,0.002131,0.007969,-0.002912,0.058923,-0.001162,-0.005378,-0.003452,-0.004857,0.135796,-0.001861,-0.035222,-0.001838,0.346582,-0.036261,-0.000984,-0.001346,-0.035664,-0.036749,-0.032971,0.06843,-0.036199
