0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
-0.031943,-0.024168,-0.03124,-0.023871,-0.023707,-0.016231,-0.001333,0.013116,0.013173,0.014297,0.03008,0.023987,0.032316,0.032823,0.033307,0.025418,0.01863,0.019127,0.011439,0.026622,0.02576,0.01834,0.018066,0.015791,0.013787,0.012205,0.002767,-0.004605,-0.012633,-0.01911,-0.018234,-0.015919,-0.015175,-0.006356,0.017026
0.053002,0.047744,0.041078,0.037721,0.030308,0.017894,0.009194,0.004166,0.001364,-0.014208,-0.028631,-0.040305,-0.04871,-0.049247,-0.048896,-0.042986,-0.047351,-0.046343,-0.043726,-0.036343,-0.023284,-0.023379,-0.019174,0.002751,0.022103,0.036114,0.047924,0.04353,0.046292,0.03649,0.029337,0.009156,0.002324,-0.00986,-0.015765
0.040108,0.03293,0.015888,0.001549,-0.006012,-0.019208,-0.019703,-0.026287,-0.029249,-0.026061,-0.023445,-0.015496,-0.016044,-0.017499,-0.018032,-0.021232,-0.015656,-0.004263,-0.000273,0.006608,0.011767,0.023721,0.028982,0.023204,0.024919,0.020069,0.00255,-0.001897,-0.008437,-0.008296,-0.006184,0.001993,0.004596,0.01054,0.02167
-0.517197,-0.558827,-0.484174,-4.630438,-0.454857,-0.511615,-0.536992,-0.379305,-0.408955,-0.594702,-0.134233,-0.187719,-0.145307,0.116243,0.047454,0.132441,0.13318,0.126152,-0.101266,-0.501284,0.034118,-0.060174,-0.142725,-0.285506,-0.680215,-5.510068,-4.768342,-5.258126,-3.919712,-0.951285,-3.672153,0.137134,0.279143,0.094326,0.264275
0.808355,1.102473,0.963865,-1.884179,1.072291,1.161701,1.005509,0.960407,1.025009,1.39336,0.656173,0.713316,0.44974,-0.361636,-0.300719,-0.5167,-1.019342,-1.480724,-3.058794,-1.252542,-1.507646,-1.119532,-1.018235,-1.340255,-1.375057,-1.966022,-2.120609,-3.835371,-2.734996,-1.369074,-2.582708,-1.117125,-0.7677,-0.567899,-0.723021
0.806638,0.703834,0.570784,-1.93954,0.32142,0.533786,0.731508,0.221583,0.251825,0.162651,-0.844501,-1.10623,-1.068409,-1.36773,-1.314577,-1.779117,-1.83086,-1.864006,0.171279,-1.408968,-1.137066,-0.889944,-0.73961,0.571879,0.698053,-1.449991,-0.51643,0.835824,-1.445742,0.409351,-2.226698,0.022168,0.405859,-0.01768,0.013926
0.021757,0.014541,0.015039,0.007726,0.000212,-0.007121,-0.01463,-0.006938,-0.014428,-0.029455,-0.021544,-0.021377,-0.021097,-0.013761,-0.006178,-0.006197,-0.006295,-0.006251,-0.006408,-0.006911,-0.007045,-0.007704,-0.000508,-0.000727,-0.001047,0.006418,-0.000612,-0.000196,0.000588,0.0082,0.001117,0.008701,0.008746,0.008774,0.015831
-0.036098,-0.026797,-0.027533,-0.032286,-0.032205,-0.035531,-0.047256,-0.044371,-0.034495,-0.02874,-0.012799,0.001799,0.009704,0.01116,0.016034,0.015589,0.014039,0.014028,0.017826,0.011941,0.015689,0.014203,0.011386,0.004782,0.00598,0.011483,0.021222,0.025236,0.038442,0.02953,0.021984,0.013475,0.008701,0.004025,0.001595
-0.000646,-0.000176,0.009578,0.014811,0.015109,0.022105,0.029807,0.033156,0.034441,0.041584,0.038785,0.034455,0.032672,0.02338,0.018118,0.017502,0.015583,0.015387,0.009266,0.002833,-0.003267,-0.014941,-0.018039,-0.015243,-0.023953,-0.028248,-0.027737,-0.023298,-0.018926,-0.008388,0.003689,0.014475,0.019301,0.024109,0.021291
-0.162021,0.099193,0.175887,0.03384,0.60093,0.18636,0.071122,-0.134614,0.05592,1.479299,-0.409356,1.50515,-0.052317,-0.034541,0.002829,0.002489,0.00332,0.001789,0.037103,-0.161427,0.05729,0.039585,0.052426,-5.150421,-0.054441,-1.482818,0.050189,0.142312,0.009852,-0.02962,-0.113926,0.010955,-0.049001,0.068696,-0.04286
-0.992929,-0.461687,0.301363,0.062897,0.335118,0.359734,0.434033,0.11505,0.591208,0.074404,2.063445,-0.253024,-0.035545,-0.017856,-0.042772,-0.042699,-0.045126,-0.029168,-0.041426,-0.645439,0.01607,-0.280076,-0.260254,0.959657,-0.646893,0.116602,-0.459779,-0.10598,-0.646389,-0.446336,-0.543507,0.038944,0.560707,0.590591,1.979087
1.539449,0.821672,0.812638,0.852829,0.758759,0.687635,1.17895,0.759764,0.975703,0.010518,-1.839455,-0.256776,0.211489,0.020732,0.07011,0.070098,0.073943,0.046499,0.06385,-0.337301,-0.174215,-0.122314,-0.108369,1.427764,-0.406404,0.339465,-0.207192,-0.200374,-0.435683,-0.56119,-0.421753,-0.026749,-0.843794,0.262093,-2.122425
