0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.00522,0.00568,0.005963,0.006278,0.006788,0.006385,0.006807,0.006446,0.006803,0.006604,0.000919,0.000335,-0.005338,-0.005412,-0.005213,-0.000706,-0.006254,-0.000614,-0.000724,-0.000295,0.005549,4.5e-05,0.007131,0.00164,0.002086,0.007796,0.006787,0.000456,0.006145,0.000488,0.000134,-0.00556,-0.000137,0.000144,-3.3e-05,-7.3e-05,-6e-06,6e-06,-0.0002,0.000227,-0.000146,-0.000405,-0.005941,-0.000567,-0.000692,0.004832,-0.000476,-0.000628,-0.001869,-0.000812,-0.001502,-0.001183,-0.002745,-0.004132,-0.00385,-0.009466,-0.003137,-0.003452,-0.003721,0.002351,0.00329,0.003416
-0.003283,-0.004957,-0.005977,-0.007089,-0.008877,-0.006022,-0.007453,-0.0047,-0.005897,-0.005131,-0.0062,-0.004217,-0.005227,-0.004983,-0.005609,0.000872,-0.000518,0.000551,0.000952,-0.000535,-0.000234,-0.001698,-0.007165,-0.00868,-0.01018,-0.009357,-0.004372,-0.001569,-0.000624,-0.001623,-0.000538,-0.001381,0.000459,-0.00014,-1.7e-05,0.000153,1.5e-05,0.000269,0.000677,-0.000783,0.000495,0.001363,-6.9e-05,0.001856,0.002339,0.003796,0.001603,0.002118,0.007856,0.00275,0.00661,0.005537,0.012362,0.018939,0.017989,0.016683,0.013698,0.015089,0.015971,0.013563,0.008426,0.007989
0.025583,0.024605,0.024013,0.023402,0.022435,0.017064,0.016313,0.010896,0.010279,0.010721,0.010536,0.011582,0.011442,0.011565,0.011237,0.007313,0.006963,0.007123,0.007315,0.006557,0.006347,0.005972,0.009725,0.009331,0.008601,0.00867,0.004314,-0.000786,-0.00067,-0.000813,-0.000256,-0.000328,0.000237,-0.000159,1.6e-05,9.5e-05,1.2e-05,-1.7e-05,0.000341,-0.000384,0.000251,0.000686,0.000327,0.000943,0.001169,0.001534,0.000796,0.001053,-0.002945,0.001366,-0.00356,-0.004086,-0.007523,-0.011259,-0.011626,-0.01173,-0.006768,-0.006156,-0.005691,-0.000464,0.003757,0.003508
0.17792,0.900391,0.188097,-0.149421,-0.157651,-0.37456,-0.098073,1.312409,1.30432,4.624209,-0.290821,-0.131721,-0.394917,-0.530322,-0.382113,1.069496,-0.444207,-0.520019,-0.447405,-0.70652,-0.352797,-0.309936,-0.329784,-0.326074,-0.054215,-0.255406,-0.225261,-0.099346,-0.108736,1.478767,0.221078,-0.116917,-0.125943,5.699935,0.40419,0.684338,0.101996,5.07644,-0.015975,-0.078313,-0.03115,-0.105423,-0.094147,0.981037,-0.1356,0.103387,-0.098687,0.014679,0.08256,0.068045,0.079719,0.072394,0.317233,-4.1829,-4.088186,-0.097974,-1.059171,-3.989173,-3.834594,-3.915512,-0.301342,0.939939
0.798144,2.066517,0.788767,0.041436,0.069715,0.531088,-0.054246,0.143976,0.47318,0.091709,0.51892,0.25613,0.690719,1.002033,0.825376,1.220909,1.458713,1.373961,1.374194,-0.792486,1.095019,1.077355,1.025361,0.922162,0.529415,0.763872,0.820481,0.396533,0.40914,1.041931,-0.579618,0.566592,0.651227,0.872267,-0.467491,-0.762856,0.240465,2.43175,0.056833,0.38838,0.154239,0.556915,0.537016,-1.205909,0.578914,0.121991,0.311646,0.103105,-0.179226,-0.196754,-0.318786,-0.241596,-0.933486,-4.327584,-4.260726,-1.002387,-1.717891,-4.26644,-4.535352,-4.390556,-2.924281,-1.764606
-0.834908,-2.008755,-0.878834,-0.153694,-0.16975,0.177007,0.007492,0.762655,0.896105,2.918716,0.130087,0.143598,0.190415,0.435328,0.068275,0.713929,0.27061,0.193534,-0.020931,2.020346,0.12362,-0.023693,0.196366,0.318059,0.055404,0.226336,0.282581,0.205379,0.273667,0.24712,2.612079,0.146724,-0.083229,2.21514,2.862812,2.63638,0.330854,-0.26116,0.260058,0.463666,0.088593,0.559521,0.528573,2.512146,0.582188,0.542055,0.648413,0.58332,0.485407,0.35399,0.557241,0.339361,0.195574,0.527985,0.200577,0.318602,0.236154,-0.395169,-0.726252,-0.905629,-0.923549,-0.638551
-0.003381,-0.002949,-0.002327,-0.001894,-0.000892,8.8e-05,0.000359,0.001436,0.001562,0.002459,-0.003732,0.002475,0.001778,0.001605,0.005391,0.003957,0.00344,0.002932,-0.004137,-0.004432,0.001285,-0.005476,-0.005713,-0.005384,-0.005805,-0.011915,-0.012656,-0.013181,-0.012545,-0.013783,-0.013673,-0.007868,-0.002391,-0.0077,-0.000993,-0.001452,-0.0008,2.3e-05,-0.000673,0.005659,-0.000953,-0.000427,0.003412,0.002662,-0.003933,-0.004673,-0.005377,-0.004842,-0.004846,-0.004614,-0.003782,-0.003452,-0.009521,-0.008602,-0.007421,-0.001414,-0.006566,-0.005837,-0.005773,0.000838,-0.005678,-9e-06
0.008309,0.009384,0.010939,0.01203,0.014534,0.01698,0.017635,0.020319,0.017195,0.019414,0.01662,0.016045,0.010906,0.010468,0.000666,-0.006296,-0.00762,-0.005588,-0.01102,-0.008508,-0.0099,-0.01123,-0.008519,-0.004326,-0.002087,-0.001647,-0.003516,-0.004818,0.000186,-0.006163,-0.005845,-0.007085,-0.009137,-0.006589,-0.002422,-0.006887,-0.005295,6.3e-05,-0.00499,-0.001764,-0.005687,-0.001044,-0.010697,-0.012582,-0.016425,-0.018246,-0.019979,-0.015267,-0.015273,-0.011304,-0.005871,-0.005054,-0.007236,-0.00494,-0.002028,-0.003405,5.8e-05,0.001809,0.001964,0.00539,0.002192,-2.4e-05
0.005053,0.005676,0.006575,0.007201,0.008613,0.009953,0.010276,0.011677,0.017084,0.01809,0.023818,0.023124,0.027328,0.026979,0.028712,0.032132,0.031487,0.025413,0.030034,0.024232,0.023376,0.023021,0.017308,0.01226,0.006297,0.006752,0.005888,0.005283,0.000588,0.004651,0.004797,0.003972,0.002757,0.004195,-0.001143,0.00382,0.004577,2.9e-05,0.004722,-0.00107,0.004393,-0.000501,0.001781,0.000876,0.006381,0.00549,0.004624,-0.000302,-0.000327,-0.005644,-0.010237,-0.009847,-0.003524,-0.002372,-0.000881,-0.001758,0.000192,0.001101,0.00118,-0.004547,0.001295,-9e-06
-0.261651,0.001293,-0.000381,-0.217217,-0.325848,0.002612,-0.000307,-0.000116,-0.033248,0.166485,-0.008074,0.255833,0.060605,-0.114447,-0.153067,2.456676,0.187669,-0.159634,0.359445,1.533014,0.636567,0.073883,-0.102097,-0.069704,-0.029118,-0.200929,-0.028026,-0.008995,0.079318,-0.408865,-0.021419,-0.031646,2.855175,-0.01008,0.005888,-0.035326,0.235444,-0.0016,-0.034163,0.00064,-0.03646,-0.000501,-0.034297,0.126791,-0.071152,0.248155,-0.079989,-0.0233,-0.028384,0.001811,0.042737,0.300522,-0.00347,-0.004366,-0.003879,-0.001446,0.003781,0.009514,-0.001828,0.033694,-0.001373,-0.000121
