0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
-0.000106,-0.000334,0.000613,-0.000481,0.001171,0.00033,0.000218,0.000254,0.007035,0.005956,0.000614,-0.000263,0.007415,0.00727,0.007491,0.007444,0.007433,0.007533,0.006496,-1e-06,1e-06,-4.2e-05,-0.000113,-0.00027,-0.000402,-0.000761,-0.001138,-0.000325,-0.008239,-0.01577,-0.023085,-0.030769,-0.037328,-0.044239,-0.044006,-0.049127,-0.054437,-0.054717,-0.055178,-0.048928,-0.049812,-0.042534,-0.033948,-0.027834,-0.021279,-0.014564,-0.007176,-0.002009,-0.000497,0.005662,0.006514,0.006898,0.000322,0.006514,0.000811,0.000192,0.00051,0.006733,0.011988
-0.000778,0.000243,-0.005214,0.000897,-0.007718,-0.002741,-0.002223,-0.002386,-0.002396,0.00363,-0.003971,0.001156,-0.004077,-0.003424,-0.004383,-0.004138,-0.004067,-0.004494,0.00127,1e-06,-3e-06,0.000183,0.000482,0.001158,0.001721,0.003258,0.004861,0.000106,0.006397,0.010024,0.013197,0.019374,0.020474,0.025257,0.025436,0.02098,0.017456,0.022515,0.027597,0.03287,0.044034,0.038688,0.023744,0.027068,0.026322,0.022179,0.012257,0.020364,0.007231,0.005528,-0.002273,-0.00616,-0.001391,-0.003384,-0.006131,-0.000993,-0.004066,-0.006317,-9.3e-05
0.008245,0.009193,0.012986,0.009768,0.010629,0.006353,0.00683,0.006675,0.005696,0.002381,0.005202,0.00106,0.004139,0.004735,0.003851,0.004076,0.004142,0.003754,0.000185,-2e-06,-4e-06,0.000166,0.000441,0.001062,0.001578,0.002985,0.004441,0.008902,0.006754,0.010896,0.014475,0.012052,0.013566,0.009623,0.009581,0.00628,0.003837,-0.000503,-0.00469,-0.009434,-0.008727,-0.005625,-0.002118,-0.000235,0.006314,0.010285,0.017529,0.015074,0.020595,0.018638,0.020473,0.017653,0.014038,0.01208,0.010687,0.006786,0.004645,0.002554,-0.001133
-0.052493,-0.039255,-0.070992,-0.031222,-0.078408,0.218932,-0.039061,0.111422,-0.048974,0.004423,-0.036493,0.002825,-0.037373,-0.044176,0.079826,-0.023514,-0.03677,1.23611,0.002006,-2.5e-05,0.005791,0.625169,0.008407,0.024526,0.058014,0.033787,1.168397,-0.279015,-0.114552,-0.613303,-0.282022,0.017214,-0.140871,-0.104173,0.105448,-0.392019,-0.224882,-2.871313,-3.292714,-0.22057,-0.124734,0.112419,0.255392,0.311307,0.690869,0.461381,0.371813,0.609371,0.045771,0.443494,0.126651,-0.007366,0.052274,0.174421,0.447718,0.306202,-0.07877,0.070747,-0.002041
0.012751,-0.002529,-0.015387,-0.027039,0.007582,-0.408925,-0.010042,-0.230374,-0.00557,-0.032135,0.007599,-0.017533,-0.004298,0.002432,-0.101947,-0.130581,-0.01132,0.510189,-0.015282,-1.3e-05,-0.014566,1.971815,-0.114132,0.021622,-0.089725,-0.067558,0.628476,0.249773,0.215077,-2.033691,0.285692,-0.073671,0.080453,-0.712891,-0.137721,-2.078189,-0.723287,-3.219215,-5.16485,-2.641636,-2.84239,-0.609613,-0.565361,-0.362684,-0.682899,-0.678269,-0.536993,-1.363536,-1.13573,-0.527418,-0.206679,-0.0963,-0.105157,-0.170941,-0.441282,-0.34663,0.125304,0.18216,0.079585
0.021944,0.009669,0.010628,0.026627,-0.007918,-0.336103,0.001127,-0.184284,0.048717,0.052613,-0.019221,0.022759,0.012724,0.017127,-0.163891,0.172902,0.013989,0.975131,0.029228,-2.5e-05,-0.011827,-1.831735,0.169464,0.033861,-0.075999,-0.020575,1.131418,0.527913,0.237663,2.066949,0.508987,0.221098,0.377362,0.774522,0.116298,1.943554,0.173559,-3.288421,-1.425204,2.489269,2.648403,1.027784,0.832576,0.956423,0.255984,0.23352,0.123767,0.034556,0.473039,-0.098483,-0.138726,-0.078762,-0.09914,-0.097218,-0.154521,-0.050687,-0.154986,0.415368,-0.118891
-0.000996,-0.000616,-0.007272,-0.000509,-0.006736,-0.00739,-0.000111,-0.000231,-0.000207,-0.000293,-0.000293,-0.000311,5e-06,-0.007039,-0.000242,1.8e-05,5e-06,0.00027,1.9e-05,-0.000188,0.000162,6.3e-05,-0.000217,-0.000236,0.006533,1.3e-05,0.000224,0.00027,0.001299,0.009625,0.011002,0.018202,0.025568,0.02701,0.021532,0.022349,0.018097,0.01235,0.006326,-0.000184,-0.009104,-0.011587,-0.020407,-0.027197,-0.035057,-0.035067,-0.035474,-0.035543,-0.035311,-0.035083,-0.034987,-0.027754,-0.033584,-0.033135,-0.032834,-0.033124,-0.033292,-0.027632,-0.02775
-0.002388,-0.00147,0.000282,-0.001215,0.001562,-0.003608,-0.000267,-0.000544,-0.000495,-0.000692,-0.000691,-0.000735,9e-06,0.000869,-0.00057,4.1e-05,1.2e-05,0.000638,4.5e-05,-0.000448,0.000382,0.00015,-0.000509,-0.000555,-0.002074,3.2e-05,0.000526,0.000633,0.00668,0.012491,0.01942,0.019088,0.023043,0.034229,0.042481,0.045041,0.056414,0.056495,0.059042,0.056329,0.043589,0.030006,0.017706,0.014115,0.004544,0.004468,-0.003417,-0.007004,-0.006461,-0.005934,-0.009125,-0.005149,-0.002782,-0.001937,-0.001434,-0.002078,0.000841,-0.001918,-0.002166
-0.002107,-0.001298,-0.000223,-0.001073,0.000909,0.005334,-0.000235,-0.000482,-0.00044,-0.000614,-0.000611,-0.000654,1.2e-05,0.000288,-0.000505,3.9e-05,1.1e-05,0.000568,4e-05,-0.000399,0.000342,0.000135,-0.000452,-0.000492,-0.001357,2.9e-05,0.000468,0.000558,-0.003087,-0.006455,-0.009332,-0.009156,-0.014195,-0.022218,-0.024285,-0.021978,-0.021265,-0.012794,-0.010994,-0.005069,0.000985,0.006699,0.013089,0.018131,0.026708,0.026586,0.03681,0.042136,0.042499,0.042797,0.04843,0.043438,0.044852,0.045334,0.045561,0.04504,0.039029,0.03726,0.037065
0.048884,-0.000687,0.004331,0.000855,-0.000563,-0.780096,-0.013093,0.009414,0.064656,-0.000716,0.000163,0.000174,-0.001407,-0.023049,0.000224,0.005106,0.003936,0.00071,0.000758,0.000156,0.000175,0.00015,0.000185,0.000208,0.00116,0.000122,0.003062,-0.40549,-0.225985,-0.253866,-0.476541,-0.517757,-0.581006,0.132585,-0.075541,-0.52857,-1.63002,-1.457017,-0.641444,-0.074797,-0.184713,-0.389649,1.14306,-0.042294,0.019788,0.151072,-0.124766,0.129708,0.259114,0.269194,0.257819,-0.107948,-0.152041,-0.215829,-0.218108,0.247314,-0.184618,0.719554,0.874064
