0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
-0.047983,-0.040669,-0.040576,-0.039752,-0.03269,-0.03263,-0.020023,-0.000367,0.006425,0.012864,0.012476,0.012051,0.005625,0.004797,-0.001625,0.011575,0.005174,0.011594,0.025325,0.025422,0.026581,0.033367,0.033746,0.027372,0.020444,0.013878,0.013953,0.000454,0.000118,-0.006143,0.001018,0.001384,0.002253,0.008925,0.00949,0.009305,0.008109,0.007467,-0.000271,0.00475,0.004829,0.005727,0.011821,0.012314,0.006341,0.019678
0.044962,0.044572,0.043517,0.031768,0.024085,0.020039,0.017054,0.006229,-0.000579,0.0002,0.006722,0.011765,0.010745,0.018955,0.015061,0.007752,0.006007,0.005457,-0.008895,-0.012899,-0.027993,-0.024528,-0.02578,-0.02637,-0.017634,-0.015175,-0.015934,-0.010832,-0.002848,-0.006361,-0.01057,-0.012393,-0.019239,-0.018346,-0.023063,-0.019976,-0.006494,0.000887,0.010921,0.026765,0.024739,0.011934,0.016665,0.01195,0.004526,0.002271
0.048381,0.037527,0.02783,0.018343,0.011869,0.00883,-0.002419,-0.003569,-0.000889,-0.000829,-0.004211,-0.008625,-0.008851,-0.018957,-0.021195,-0.019422,-0.020204,-0.021138,-0.016653,-0.019714,-0.015042,-0.013268,-0.014555,-0.014629,-0.015836,-0.013475,-0.014178,-0.008913,-0.002355,0.003946,0.008458,0.015566,0.027137,0.027276,0.032021,0.034557,0.02826,0.025566,0.01698,0.00332,0.001708,0.000192,-0.005114,-0.000397,0.002834,-7.3e-05
-0.03095,-0.365719,-0.4831,-0.424641,2.991216,-0.460634,-0.04917,-0.33226,-0.376584,-0.065355,-0.238648,-0.443905,-0.616395,-0.450862,-0.53382,-0.122039,-0.245579,-0.318505,-0.410126,-0.170279,-0.007032,0.4129,0.498809,0.552434,0.507287,-0.145333,0.308766,0.180868,0.148493,0.278282,0.29514,0.266371,0.033901,-0.136388,-4.457752,0.225818,0.235209,-0.021896,-4.085636,-1.111745,-1.17487,-0.826777,-0.940514,-0.177131,-1.105319,-0.972213
-0.068078,-0.453182,0.423087,0.551318,3.561354,0.483381,0.069075,0.446993,0.396555,0.084898,0.240751,2.215018,1.264072,1.272499,1.163345,0.653087,0.815593,0.772444,0.706878,0.836414,0.337426,-0.471737,-0.615826,-0.885037,-0.770856,-0.625821,-0.393071,-0.291065,-0.535058,-0.788768,-1.064053,-1.005959,-0.978067,-1.468177,-2.247591,-1.268944,-1.127815,-1.889366,-1.820851,-0.812281,-0.747553,-1.453376,-0.785214,-0.513033,-0.996413,-0.66478
0.079926,1.10162,0.652414,0.365123,3.523832,0.496146,0.259829,0.341201,0.314475,0.122385,0.433648,-1.694198,-0.118739,-0.561142,-0.110565,-0.425169,-0.347659,-0.112822,-0.421079,-1.218234,-0.774635,-1.054842,-1.410707,-1.337314,-1.519132,-1.191393,-1.294855,-0.755362,-0.296913,-0.856714,-0.533548,-0.724899,-0.748141,-0.942094,-3.615175,-0.589439,-0.211664,0.344618,-3.228606,-0.297882,-0.416412,-0.696944,-0.886502,-0.036968,-1.005209,-0.925317
0.029914,0.040985,0.04799,0.037776,0.037481,0.05038,0.044756,0.03171,0.03126,0.024706,0.010933,0.024418,0.017957,0.004805,0.012221,-0.00014,-0.006766,-0.012942,-0.025135,-0.02482,-0.02481,-0.024935,-0.025156,-0.018915,-0.018215,-0.018183,-0.011461,-0.004053,0.00167,0.001187,0.000529,-0.006579,-0.006761,-0.000181,-0.006466,-0.006919,-0.007099,-0.007355,-0.000705,0.006117,-0.000397,0.006485,0.006372,0.006232,0.006954,0.000404
-0.011176,-0.029856,-0.028301,-0.010772,-0.017032,-0.022369,-0.013687,-0.023069,-0.027216,-0.028072,-0.048171,-0.04295,-0.047471,-0.057206,-0.057414,-0.044018,-0.042871,-0.027853,-0.002613,0.003697,0.012268,0.019179,0.016517,0.008451,0.012414,0.007751,0.007671,0.016038,0.005933,0.007238,0.003236,0.000374,0.00349,0.003115,0.009386,0.002494,-0.002701,-0.008342,-0.008293,-0.00339,-0.002329,0.003165,-0.001747,-0.006834,0.001789,-0.001717
-0.009004,-0.007668,-0.006437,-0.000456,0.002655,0.006576,0.005296,0.014346,0.01092,0.010275,0.019193,0.015031,0.019926,0.029283,0.037982,0.041019,0.042179,0.037616,0.03262,0.029087,0.018679,0.007017,0.004815,0.006829,0.009866,0.014538,0.014385,0.012309,0.012768,0.005462,0.002429,0.000331,-0.005571,-0.005898,-0.009371,-0.006321,-0.001998,0.001982,0.001975,-0.002606,-0.00178,-0.005925,-0.001386,0.00303,0.001315,0.006957
4.438172,0.557708,-0.303908,0.051832,-0.084547,-0.100445,-0.0269,0.069662,0.010962,0.021681,-0.610843,0.006958,0.591049,1.471215,-0.227506,-0.129274,-0.046128,-0.101701,0.057398,0.212614,-0.27632,-0.150759,0.045731,0.003808,-0.001843,-0.03391,-0.036108,0.000582,-0.034115,0.003963,0.003592,-0.070356,-0.107652,-0.233633,-0.006707,0.043229,-0.200554,-0.021265,-0.032157,-0.03426,0.019133,0.035124,0.037796,0.151138,0.082467,-1.506283
-3.301887,-2.549351,-0.518952,0.251434,-0.049798,-0.08457,0.029768,0.440436,0.422053,0.465919,-0.97078,0.623328,1.032483,0.198679,0.479332,0.588729,0.773845,0.351202,0.202439,-0.997756,-0.46444,-0.392833,0.016166,0.039049,0.015004,-0.073821,0.014934,-0.031306,-0.014766,-0.121088,-0.118377,-0.303707,-0.453374,-0.747093,-0.329806,-0.109488,-0.583996,-0.038779,-0.089922,-1.462588,0.084832,-0.016662,0.099057,0.492282,0.240012,0.794604
-0.55841,2.318505,0.89101,0.148027,0.106388,0.20116,0.242986,0.467581,0.414221,0.399298,2.456641,0.407743,0.465882,0.078027,0.129158,0.171668,0.247885,0.29299,-0.004781,2.528319,-0.363309,-0.301683,-0.051188,-0.061442,-0.042038,0.107095,-0.027772,0.043626,0.032022,0.192785,0.188733,0.084743,-0.062013,-0.202787,0.04295,0.154766,-0.172333,0.108026,0.15151,2.34776,0.01778,0.021175,0.10136,0.317616,0.190225,0.516226
