0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0.019787,0.010351,-7.1e-05,-0.009756,-0.005036,-0.01171,-0.0077,-0.007807,-0.007603,0.003511,-0.000877,-0.00241,0.002554,-0.002308,0.003446,0.008442,0.002312,-0.003125,0.000993,0.001787,0.005829,-0.00027,0.000874,0.000188,-0.000208,-0.001742,-0.001413,0.004708,0.004037,0.009991,0.001299,0.005524,0.009033,0.009848,0.003754,0.010068,0.00995,0.004594,0.009529,0.011797,0.008172,0.003209,0.003097,0.007961,0.002313,0.001789,0.001222,-0.000797,0.000532,0.000918,0.001808,0.000153,0.000269,0.000802,0.000316,0.001564
-0.017845,-0.02468,-0.027128,-0.031984,-0.026983,-0.021648,-0.012745,-0.012493,-0.013266,-0.010736,-0.017336,-0.011051,-0.007824,-0.011461,-0.010548,-0.007224,-0.00703,-0.009035,-0.00136,-0.005449,0.002578,0.002711,-0.002665,0.001111,0.00228,0.008623,0.007578,0.005949,0.007985,0.006801,-0.00557,0.001755,0.009546,0.005331,0.006826,0.004551,0.004773,0.002724,0.007607,-0.000568,-0.007386,-0.01063,-0.010478,-0.005107,-0.006394,-0.005009,-0.003423,0.003983,-0.001494,-0.002572,-0.006824,-0.000438,-0.000762,-0.004015,-0.002668,-0.007921
0.036718,0.034144,0.027094,0.018784,0.014286,0.003767,-0.005703,-0.00559,-0.006023,-0.005515,-0.001703,-0.005368,-0.004102,-0.005655,-0.005633,-0.004277,-0.003787,-0.004469,-0.007752,-0.002968,-0.006068,-0.005658,-0.001456,-0.006439,-0.005795,-0.009339,-0.00991,-0.00419,-0.003057,0.00289,0.003966,0.000517,0.00438,0.009073,0.003292,0.008633,0.008738,0.007861,0.003266,0.005844,0.00254,0.001211,0.001337,-0.00321,-0.003503,-0.002745,-0.001884,-0.004863,-0.000824,-0.001424,0.003295,-0.000244,-0.000425,0.004855,0.005604,0.009792
0.615149,0.126083,0.740281,0.007158,3.677653,1.129693,-0.004725,-0.027332,0.601914,0.11477,-0.086062,1.752209,1.181891,0.561546,4.073944,0.126509,0.32103,1.225834,0.348783,0.257082,1.288034,4.466638,0.319921,1.334726,-0.005173,1.429704,-0.351769,-0.23172,-0.054332,0.403745,-0.14284,-0.856448,-0.26625,-0.29699,-0.871143,-1.109197,-1.452015,-6.121444,0.005456,-1.383885,-4.736163,-4.877534,-2.628919,-0.583886,-5.899087,-1.229884,-1.137669,0.01586,0.065777,-0.122281,-0.00946,0.020899,0.026023,-0.012031,-0.181613,-0.009243
-0.314598,-1.004746,-0.307421,-0.152327,-1.926739,0.263837,0.13655,0.147675,0.62942,0.576568,0.536491,0.43189,-0.43015,0.598985,-2.626877,0.518213,0.192292,-0.19316,0.241488,0.608519,0.037957,-1.878738,0.556338,-0.032667,1.000261,0.543472,0.84367,0.505774,0.833807,0.530284,0.277581,-1.268672,-0.409209,-0.403584,-1.283015,-2.12015,-2.042862,-1.600167,-1.259988,-1.12394,-1.299059,-1.002652,-2.862058,-1.833775,-2.336544,-0.802065,-0.769209,-0.5166,-0.400496,-0.03213,-0.187661,-0.217418,-0.101796,-0.093815,-0.289271,-0.155534
-1.021995,-0.956832,-1.582968,-0.90155,2.713649,0.53882,-0.276188,-0.303665,-0.72001,-0.110876,0.170125,0.557194,0.717094,-0.773092,2.47047,0.126467,0.477657,1.011728,0.505954,0.650609,1.049266,2.381804,0.662806,0.673319,0.673698,0.973045,1.113528,0.9742,0.213391,0.175675,-0.040687,1.953752,0.648499,0.654548,1.959938,1.639971,1.955531,0.588123,0.653401,-0.034195,-2.480915,-3.064362,1.003764,0.811225,-0.978374,0.119613,-0.01995,0.767491,0.668504,0.624408,0.283178,0.294249,0.166106,0.145275,0.290996,0.080912
0.001179,0.001248,-0.003523,-0.003205,0.002912,-0.002278,-0.002598,-0.008532,-0.009435,-0.00446,-0.010765,-0.011746,-0.012136,-0.018456,-0.01826,-0.005746,-0.011529,-0.005612,-0.011411,-0.005224,0.000459,-0.000127,-0.006108,-0.000133,-0.006305,-0.001105,-0.002295,-0.002724,-0.013435,-0.00787,-0.013016,-0.013316,-0.007506,-0.000877,-0.000677,-0.000773,0.005014,0.004733,0.005321,0.005696,0.006191,0.006408,0.006003,0.006791,0.000338,0.000289,-0.000311,-0.000631,-0.006489,-0.000651,-0.0004,-0.00473,-0.010144,-0.009602,-0.008689,-0.00394
0.007254,0.004023,0.008784,0.009777,0.009398,0.012688,0.011571,0.012326,0.005863,0.001999,0.001564,-0.001503,-0.002675,-0.006405,-0.005761,-0.001994,-0.000704,-0.001457,-0.000311,-0.000412,-0.005425,-0.010532,-0.0132,-0.013956,-0.013767,-0.016832,-0.023759,-0.021602,-0.009335,-0.007953,0.002445,0.001464,0.003458,0.007746,0.004881,0.001195,-0.003765,-0.007779,-0.006335,-0.005269,-0.003851,0.000216,-0.000958,0.004767,0.00097,0.000833,-0.000906,-0.005251,-0.00731,-0.008742,-0.011452,0.001254,0.003912,0.005401,0.014747,0.006745
-0.00334,0.002135,0.004796,0.005299,0.004927,0.006757,0.006126,0.006667,0.01042,0.008259,0.008219,0.006682,0.006097,0.011479,0.011808,0.006268,0.007102,0.006534,0.007305,0.007071,0.011461,0.016012,0.02199,0.021457,0.021778,0.020138,0.023927,0.017948,0.010121,0.003469,-0.005555,-0.006017,-0.012401,-0.01764,-0.011898,-0.006572,-0.00208,0.003015,0.003807,0.004347,0.005062,-8.2e-05,-0.000671,-0.004981,0.000486,0.000418,-0.000453,0.004557,0.010906,0.01001,0.015865,0.008017,0.009531,0.010257,0.000484,0.003509
0.049667,-0.142432,-0.25526,-0.000321,0.014597,0.0128,-0.333039,-0.178066,-0.318045,0.257736,-0.019149,1.067604,0.068208,-0.075979,-0.213217,-0.111326,-0.281407,4.299094,-0.029214,-0.055362,-0.375137,-0.094758,-0.321091,-0.14843,-0.115458,-0.129058,1.053168,-0.134936,-0.03684,-0.147568,4.07552,-0.047154,0.061267,1.335064,0.067796,0.032605,1.3e-05,4.432106,0.218748,0.246661,0.01873,0.16677,-0.009049,0.412061,-0.035343,0.074546,0.169109,0.080545,0.120348,-0.055192,-0.028471,-0.016319,0.183958,-0.041432,0.035106,-0.00296
