0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-0.001719,-0.017138,-0.031351,-0.037102,-0.029693,-0.022227,-0.021662,-0.007666,-0.007641,-0.007586,0.006568,0.006638,0.006627,0.006656,0.006751,0.006788,0.006223,0.006292,0.006326,0.007447,0.015384,0.015344,0.0235,0.024035,0.031633,0.031724,0.031796,0.024425,0.009557,0.016999,0.001808,0.002,0.008643,0.008533,-0.006716,0.000474,0.000532,-0.008111,-0.000263,0.007372,0.000511,0.000456
0.027527,0.031716,0.025602,0.007258,0.005086,0.001346,-0.005267,0.00088,-0.000264,-0.002259,0.000265,-0.000469,0.000397,-0.000146,-0.002315,-0.002491,0.003636,0.003351,0.002702,-0.008514,-0.012106,-0.009487,-0.012778,-0.018057,-0.016101,-0.014601,-0.015371,-0.016354,-0.017325,-0.014729,-0.015313,-0.015566,-0.005486,-0.004332,-0.004829,-0.001347,-0.002105,0.006117,0.003176,0.002633,-0.004015,-0.003342
0.029848,0.015466,0.010524,0.001779,-0.001345,-0.006073,-0.003129,-0.008154,-0.009382,-0.011496,-0.020363,-0.021303,-0.020482,-0.021135,-0.023655,-0.024041,-0.027518,-0.028058,-0.028988,-0.021132,-0.01588,-0.012991,-0.00728,-0.00304,-0.001813,-0.000107,-0.001185,-0.001502,0.010269,0.012387,0.013848,0.024398,0.024728,0.026048,0.027352,0.019741,0.018789,0.008222,0.003725,0.002054,0.005875,0.006661
-0.666729,-1.015706,-0.751748,-5.435977,-0.539633,-0.454678,-0.455634,-0.869624,-0.298983,-0.224882,-1.007269,-1.696591,-1.06802,-0.05564,0.034613,0.011952,-0.954314,-1.258399,0.03798,-1.339173,0.347297,0.285597,-5.09233,0.49732,-1.505469,-5.327394,-1.436453,0.161559,-0.249881,0.142162,-4.753662,-0.253831,-1.505873,-0.781186,-3.262355,0.128778,-0.969922,-0.209158,-0.296353,-0.892433,-0.942673,0.021423
1.093529,0.914654,1.446535,-0.1885,1.23376,1.044397,0.914917,0.668765,0.431243,0.674462,1.749969,0.134521,1.209527,0.554298,0.318608,0.269293,1.068317,-1.039917,-0.137339,-0.987239,-1.123322,-1.241257,-2.830977,-3.407423,-3.918886,-3.197766,-2.079588,-1.686771,-1.713303,-1.85584,-1.263303,-1.868695,-3.909169,-2.471077,-2.500167,-1.201241,-1.053468,-0.603964,-0.023417,-0.67704,-0.685817,-0.217278
0.547247,0.548269,0.657766,-3.123093,0.23012,0.336807,0.448077,0.561529,-0.026041,-0.104364,-2.435227,0.124495,-0.64832,-0.351725,-0.517836,-0.426505,-2.550514,-0.211362,-0.517489,-0.47357,-1.53178,-1.797508,-1.886295,0.082681,0.225403,-1.888604,-1.687267,-1.094933,-0.135435,-0.645505,-3.070591,-0.25759,2.179197,-0.279865,-2.567661,1.570866,0.091128,0.462873,1.005796,-0.539898,-0.638862,0.333337
0.021615,0.022172,0.03017,0.0305,0.030689,0.023417,0.023412,0.016056,0.008581,0.008595,0.001206,-0.006168,0.001722,-0.005843,-0.005593,-0.005594,-0.005536,-0.005422,-0.013071,-0.013026,-0.013168,-0.013557,-0.021202,-0.021242,-0.028663,-0.028484,-0.028504,-0.021457,-0.021567,-0.014385,-0.007022,0.007547,0.00749,0.007544,0.00775,0.007639,0.00764,0.007899,0.015305,0.015397,0.008234,0.015497
-0.027502,-0.018867,-0.016639,-0.014591,-0.019602,-0.015591,-0.021195,-0.024898,-0.015237,-0.013998,-0.010222,-0.00528,-0.00294,0.005159,0.007938,0.014306,0.021257,0.021847,0.025614,0.019115,0.015706,0.015718,0.011643,0.004436,0.003679,-0.001092,-0.001256,-0.00442,-0.005442,-0.007099,-0.002053,0.00151,0.001037,0.001526,0.008579,0.003608,0.003693,0.005134,0.000856,-0.003277,0.003551,0.003868
-0.002771,-0.002632,0.000429,0.003182,0.007888,0.013513,0.017369,0.02426,0.025946,0.027444,0.032804,0.039355,0.041882,0.041025,0.043944,0.040081,0.037325,0.037205,0.030401,0.033051,0.028597,0.017899,0.01326,0.015483,0.014563,0.019401,0.019121,0.01554,0.014379,0.012539,0.00787,0.001599,0.001081,0.001592,-0.000912,0.003595,0.003684,0.005358,0.010678,0.016189,0.013482,0.013619
3.935399,-0.053384,-0.042147,1.588749,0.576404,0.248373,3.76021,0.005024,1.284785,4.036191,0.204662,0.148089,-0.230469,-0.728204,-0.801298,0.188596,0.290087,0.134588,-0.005412,-0.063886,-0.092707,-0.009401,-0.007852,-0.66545,0.209191,-0.684685,-0.09216,-0.078927,0.189767,-0.052375,-0.04815,-0.010332,0.001481,0.00223,0.294188,-4.548316,-4.535179,0.206381,-0.051039,-0.054254,0.442451,0.204444
-3.409346,0.029131,0.223406,1.593547,0.766003,0.961809,-3.308392,0.723135,-0.462701,-2.998929,0.663584,0.928737,0.364337,-0.265573,-0.68209,0.490826,0.695059,0.442377,0.049408,0.013628,-0.163828,-0.043892,-0.010648,-1.235249,0.375071,-1.225242,-0.154731,-0.172188,0.388354,-0.13385,-0.111561,-0.031197,-0.015518,-0.030495,0.432408,3.107297,3.134831,0.434541,0.037615,0.012276,1.475428,0.395048
