0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-0.06716,-0.071981,-0.069905,-0.054536,-0.047244,-0.021593,-0.014766,-0.014599,-0.007847,-0.00752,-0.000934,-0.007738,-0.008368,0.004967,0.005558,0.020206,0.020847,0.015633,0.022818,0.03115,0.024368,0.01761,0.002902,0.00212,-0.012939,-0.02038,-0.013547,-0.013669,-0.019773,-0.005272,-0.004731,0.003846,0.01155,0.011065,0.011109,0.022442,0.028439,0.020817,0.012706,0.004997,0.004312,0.004165
0.049331,0.044962,0.030756,0.013115,0.002919,0.011294,0.007985,0.003061,0.002836,-0.001294,0.001395,0.003486,0.011744,0.013898,0.006553,-0.007414,-0.014895,-0.031338,-0.034605,-0.04432,-0.043261,-0.042634,-0.033584,-0.025376,-0.014927,-0.009864,-0.006323,-0.004183,-0.012501,-0.014211,-0.019745,-0.033872,-0.040759,-0.036024,-0.035988,-0.004605,0.005502,0.008878,0.016331,0.021357,0.028023,0.029607
0.059171,0.03622,0.032294,0.007312,-0.010228,-0.022939,-0.026293,-0.030445,-0.03164,-0.026371,-0.024882,-0.022557,-0.024193,-0.023584,-0.02128,-0.017419,-0.015301,-0.011949,-0.016013,-0.008046,-0.006516,-0.005499,-0.004739,-0.006161,-0.003785,0.002037,0.004793,0.006928,0.01844,0.02473,0.028748,0.042585,0.044662,0.03986,0.039989,0.021529,0.011541,0.006102,-0.004791,-0.008604,-0.011644,-0.010144
-0.01155,-0.126964,-0.301309,-0.407733,-0.487591,-0.263493,-0.16787,-0.432933,-3.49509,-0.726227,-0.118807,-0.56942,-0.519642,-0.331545,-0.376145,-0.040285,-0.818475,-0.179818,0.280661,0.133571,0.742569,0.298529,-1.209659,-0.050097,0.207316,-0.047751,0.013632,0.164491,0.236389,0.269125,0.269286,-1.150005,0.180462,0.108128,0.174146,0.157874,0.180247,-1.06906,-1.110035,-3.693296,-0.990384,-2.054184
-0.177309,-0.01067,0.249252,0.418741,0.482838,1.352923,0.454319,1.52352,-3.827042,1.849303,0.384513,0.67998,1.002195,0.449961,0.836121,0.503861,1.853836,0.769354,-0.031964,-1.093053,-1.418224,-0.589065,-1.328221,-1.154388,-0.990861,0.139178,-0.098044,-0.508165,-0.833068,-1.199218,-1.416784,-2.042197,-1.375876,-1.093977,-1.322731,-1.242123,-1.348034,-1.385926,-0.907143,-1.92138,-1.078067,-2.757872
0.216797,0.474271,0.534387,0.598108,0.815999,-1.747492,-0.122387,-1.87903,-1.483316,-2.092862,-0.014779,0.249054,-0.08285,-0.085668,-0.116725,-0.648365,-3.13479,-1.051917,-1.43314,-1.817975,-1.084341,-1.382194,-1.536843,-1.21614,-0.00663,-0.290507,-0.175451,-0.429333,-0.745335,-0.91896,-0.755285,-1.696225,-0.790064,-0.571736,-0.466877,0.098942,0.51624,-0.400246,0.060123,-2.909659,-0.306693,1.055099
0.049818,0.043899,0.044407,0.0387,0.025551,0.02636,0.026698,0.01334,0.006763,-3e-06,-0.00706,-0.000168,-0.007088,-0.014103,-0.021057,-0.027554,-0.041668,-0.033723,-0.046581,-0.032441,-0.025192,-0.017739,-0.004662,0.002041,0.008637,0.01443,0.007292,0.014314,0.00681,-0.000264,0.006962,0.000204,-0.000191,-0.006798,0.000432,-0.000356,-0.00046,-0.000257,-0.000657,-0.000801,0.006251,0.006478
-0.032861,-0.032248,-0.035313,-0.029822,-0.034445,-0.034274,-0.0317,-0.034529,-0.037297,-0.03535,-0.042157,-0.043069,-0.045833,-0.045531,-0.042034,-0.027936,-0.025635,-0.006776,0.00898,0.010489,0.020552,0.026382,0.017883,0.020196,0.017393,0.004094,0.002775,0.003458,-0.001002,-0.00216,0.00504,0.011392,0.008057,0.015432,0.018048,0.001811,0.000988,0.007486,-0.005434,-0.006846,-0.005487,-0.003721
-0.021696,-0.021574,-0.01567,-0.010752,-0.006101,0.003221,0.005728,0.012573,0.019466,0.021586,0.024569,0.023694,0.030581,0.031267,0.035014,0.039595,0.042018,0.041163,0.046458,0.037841,0.028384,0.024,0.015976,0.00887,0.006229,0.003451,0.002338,0.002861,-0.000943,-0.001878,-0.004611,-0.007927,-0.010796,-0.013212,-0.010991,-0.007302,-0.008029,-0.011264,-0.004758,-0.006007,-0.0049,-0.003355
4.593375,0.003977,-0.067346,-0.078696,0.089722,0.007259,-0.081898,0.056744,-0.092448,-0.129396,-0.084133,-0.065406,4.980257,-0.003986,-0.038708,0.038826,-0.011046,0.101975,-0.141302,-0.111984,-0.036283,-0.009184,-0.001952,0.03816,0.034556,0.009501,-0.003007,0.002681,0.000899,-0.000418,0.036426,0.066775,0.058402,-0.094012,-1.458266,-0.057212,-0.018993,0.022982,-0.000531,-0.146711,0.005343,0.000433
-3.189344,-2.9e-05,0.024458,0.027264,0.598851,0.513826,0.231903,0.77546,0.485171,0.365479,0.446978,0.343983,-1.668456,0.656092,0.50888,0.715274,0.218948,0.660565,-0.017952,-0.100753,-0.006716,0.059287,0.056895,-0.064006,0.028026,-0.033296,0.090477,-0.044603,-0.013089,0.005357,-0.028547,0.074228,-0.09358,-0.63746,0.423705,-0.307793,-0.189795,-0.175443,0.018572,-1.503419,0.01257,-0.014025
0.024825,0.051009,0.056373,0.057568,0.426428,0.360588,0.14662,0.492268,-0.053793,0.086543,0.368433,0.523452,-0.10977,0.708785,0.74909,0.657737,1.375452,0.732086,0.098944,0.104146,-0.015706,-0.14044,-0.09922,0.095926,-0.046229,0.090416,-0.139226,0.083607,0.026966,-0.008512,0.045912,-0.130322,-0.039304,-0.35725,0.31299,-0.203311,-0.128657,-0.092917,-0.02233,2.279262,0.011223,0.029545
