0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0.024385,0.024636,0.016905,0.00934,0.008326,0.000731,0.00083,0.00048,0.000638,0.007261,8.6e-05,0.007451,0.000189,0.000148,0.007527,0.00756,0.00762,0.00755,0.007424,-6e-06,0.007219,-0.000723,-0.000812,-0.008054,-0.00802,-0.000664,-0.001296,-0.0013,-0.00123,-0.0012,-0.001259,-0.001158,-0.001097,-0.000913,-0.000839,-0.000835,-0.007988,-0.000792,-0.00795,-0.008006,-0.007991,-0.000168,-0.00027,-0.008267,-0.008371,-0.007874,-0.008566,-0.00079,-0.008137,-0.000328,-0.000379,-0.00037,-0.000339,0.000232,-0.000478,-0.000424,0.006819,0.007585,0.014107,0.015422,0.015221,0.015053,0.00728,0.007663,0.001064,0.001124,0.001377,0.000878,0.001625,0.008704,0.015196,0.015275,0.015316,0.022371,0.015367,0.015224,0.014451,0.014388
-0.012805,-0.017325,-0.014744,-0.014117,-0.006123,-0.004801,-0.005945,-0.003817,-0.005644,0.000572,-0.001084,-0.001538,-0.002203,-0.002163,-0.002197,-0.002394,-0.003053,-0.002116,-0.000887,9.9e-05,0.001576,0.00623,0.007164,0.005974,0.005711,0.005704,0.011073,0.011101,0.010417,0.010123,0.010704,0.009521,0.008889,0.006832,0.0061,0.005907,0.004421,0.005393,0.003925,0.00451,0.00431,3.5e-05,0.001217,0.007516,0.008825,0.005084,0.011516,0.007692,0.008735,0.00426,0.004935,0.004804,0.004388,-0.000478,0.006155,0.005346,0.004685,-0.002562,0.003474,-0.008,-0.005778,-0.003922,0.002035,-0.000964,-0.005561,-0.006602,-0.009182,-0.005304,-0.011672,-0.011079,-0.006208,-0.0072,-0.007036,-0.00623,-0.007589,-0.006822,-0.000362,-9e-05
0.054555,0.049092,0.04259,0.033966,0.022466,0.014783,0.013561,0.005884,0.003956,-0.000298,-0.00115,-0.002541,-0.002341,-0.002257,-0.003265,-0.003487,-0.004203,-0.003218,-0.001774,9e-05,0.000732,-0.003337,-0.002331,-0.002647,-0.00293,-0.003887,-0.008122,-0.008064,-0.008817,-0.009126,-0.008492,-0.009747,-0.010422,-0.012644,-0.013426,-0.01366,-0.014368,-0.014251,-0.014954,-0.014337,-0.014575,-0.010135,-0.008836,-0.011047,-0.009581,-0.003556,-0.006548,-0.001569,0.000535,0.004764,0.005491,0.005332,0.00485,0.009555,0.006758,0.005841,0.004198,0.006302,0.001938,0.009456,0.011837,0.013824,0.021084,0.027624,0.033452,0.032131,0.029333,0.023516,0.026662,0.026318,0.020756,0.019705,0.019795,0.01967,0.019176,0.01989,0.016681,0.016881
0.356539,0.106867,-0.024442,-0.14572,-0.033418,0.176341,-0.097722,0.330345,0.075648,0.000148,-0.127683,0.096856,-0.052394,4.31754,-0.466246,-0.074709,-0.436018,-0.249493,4.798669,-0.22605,-0.139629,-0.135841,-0.248301,1.294036,1.201382,-0.274381,-0.220337,1.581573,-0.123575,0.090232,-0.066627,-0.205725,-0.117222,-0.029646,1.468876,-0.057453,-0.022175,-0.11159,-0.395218,-0.033276,0.018879,-0.084509,-0.092011,0.010296,0.0684,0.433504,0.509886,0.032353,1.360345,0.15808,0.117318,0.098511,0.113805,0.036758,0.197233,0.215488,0.353426,0.276112,0.335422,0.214125,0.434134,0.487939,0.474399,0.520319,-4.175972,0.399796,0.502741,0.440639,0.358585,0.129707,-3.631512,-3.569058,0.103077,0.350563,0.065908,-3.219778,0.299209,-0.062038
0.089658,-0.206998,-0.092669,0.106773,0.036107,-0.233409,0.115783,0.160652,0.052515,-0.018237,0.253558,0.422561,0.532017,1.974541,1.109058,0.726331,1.145724,1.114179,1.808289,0.676987,0.477509,0.577369,0.871927,1.441413,1.208762,1.23464,1.152017,0.022504,0.811957,0.606729,1.108126,1.160541,0.965381,0.515859,1.378338,0.808672,0.515634,0.860797,1.05789,0.522231,0.303052,0.610767,0.63072,0.324573,0.045989,-0.217327,-0.429498,-0.023952,-1.258404,-0.746979,-0.770729,-0.584041,-0.596336,-0.448607,-0.933411,-0.811821,-1.163634,-1.098764,-1.228667,-0.958842,-1.480113,-1.6416,-1.655387,-1.720724,-3.877803,0.463965,-1.249165,-1.093923,-0.992647,-1.37393,-3.206691,-3.081209,-1.293111,-1.128741,-1.120715,-2.646815,-0.63385,-0.218768
-0.332803,-0.767756,-0.489178,-0.396868,-0.393529,-0.374762,-0.1409,0.289379,0.072384,0.033274,0.062562,-0.170296,-0.300964,2.365872,-0.195214,-0.410298,-0.180351,-0.170563,1.814123,-0.036637,-0.122018,-0.071157,0.151021,0.601861,1.262342,0.206176,0.322315,2.758362,0.350506,0.15562,0.529005,0.593843,0.458566,0.125196,-0.122304,0.283711,0.054614,0.376542,-0.59387,0.344129,0.151463,0.426688,0.444428,0.207693,0.039866,0.809107,0.680894,0.032478,2.075398,-0.287115,-0.031774,0.099455,0.091535,0.176091,-0.118793,-0.286415,-0.548872,-0.268529,-0.052765,-0.188916,-0.294531,-0.045706,-0.062951,-0.169951,-2.001761,-2.298142,-0.396989,-0.300463,-0.25172,-0.590414,-3.070748,-3.554614,-0.303861,-0.021535,-0.211337,-3.57843,-0.121764,-0.120895
-0.007091,-0.007016,-0.007048,-9.4e-05,-0.000126,-0.000171,-6.9e-05,-3.7e-05,-0.007016,0.000111,-3e-06,0.000217,0.000228,0.000322,0.000441,0.000488,0.00048,0.000543,-0.006551,0.000379,0.000183,0.000104,8e-06,-0.000123,7.8e-05,8e-05,0.000268,0.000221,0.000395,0.000306,0.000284,8e-05,0.000113,0.000279,0.007313,0.000409,0.000394,0.000286,0.0073,0.007209,7.5e-05,-6.8e-05,-1.8e-05,-0.000128,-0.000171,-0.000338,-0.000308,-0.000395,0.006423,0.006279,0.006093,0.006064,0.013104,0.005978,0.005954,0.005998,-0.001333,-0.001283,0.00599,-0.001322,0.005976,-0.001319,0.006158,-0.001085,0.006531,0.014089,0.006925,0.014582,0.014649,0.014926,0.007616,0.007714,0.000333,0.008027,0.000611,0.000671,-0.006712,0.000825
-0.000225,0.000403,0.000146,-0.000762,-0.001025,-0.001407,-0.000577,-0.000319,0.00045,0.000908,-0.004989,0.001774,-0.003091,-0.002325,-0.001326,-0.005878,-0.005926,-0.005413,-0.005679,-0.001803,-0.008305,-0.00402,-0.004773,-0.010751,-0.004231,-0.009115,-0.007605,-0.0129,-0.006555,-0.007274,-0.007451,-0.014038,-0.008853,-0.002589,-0.00844,-0.001556,-0.001687,-0.007515,-0.003267,-0.004025,-0.004281,-0.010442,-0.005061,-0.005991,-0.00636,-0.012766,-0.007556,-0.008313,-0.011159,-0.012621,-0.014508,-0.014934,-0.021932,-0.016403,-0.016807,-0.016766,-0.022761,-0.017146,-0.017707,-0.012309,-0.013072,-0.012345,-0.011913,-0.015692,-0.008774,-0.013383,-0.005347,-0.009312,-0.008792,-0.006137,-0.01006,-0.003229,-0.002043,0.000409,0.001188,0.001888,0.002811,0.003672
-0.00019,0.000447,0.00018,-0.000773,-0.001048,-0.001445,-0.000595,-0.000328,0.000481,0.000934,0.004545,0.001825,0.00649,0.007271,0.008282,0.013252,0.013197,0.013699,0.013431,0.007735,0.010774,0.005521,0.004773,0.008345,0.005314,0.009986,0.011486,0.015758,0.012524,0.011815,0.011642,0.014669,0.010281,0.006929,0.010648,0.007921,0.007786,0.011573,0.00622,0.005487,0.005279,0.008764,0.004536,0.003649,0.003294,0.006558,0.00215,0.001422,-0.001375,-0.002813,-0.004693,-0.005141,-0.002592,-0.00674,-0.007188,-0.007241,-0.003622,-0.00777,-0.008459,-0.012794,-0.013778,-0.013029,-0.012786,-0.006795,-0.009569,-0.004521,-0.005915,-0.00016,0.000398,0.003299,0.009288,0.006564,0.00796,0.010491,0.011438,0.012177,0.013225,0.013979
0.011623,-0.001831,0.007621,0.014862,-0.000795,-0.000639,-0.000523,-0.000495,-0.001377,-0.000329,-0.035538,-0.000149,-0.047514,-0.037198,0.006825,-0.074581,-0.047994,0.217815,-0.038235,-0.030988,0.277347,0.197577,-0.027165,0.284204,0.062165,0.033709,-0.049054,-0.043463,0.108604,0.32557,0.213808,-0.062603,0.101678,0.01658,-0.903715,0.109361,0.194197,-0.054163,0.104519,0.074808,0.080327,-0.056083,0.402032,-0.024157,0.074159,0.191898,0.102418,0.189979,-0.019341,0.192558,0.113982,0.037085,0.157299,0.323098,0.251166,0.145019,0.160148,-0.003684,-0.018217,0.184073,0.264572,-0.01094,-1.562266,-0.043948,0.314713,0.282978,0.394005,0.187791,0.352024,0.295927,0.263197,0.116672,0.286221,-1.485285,-0.04382,0.015989,0.166735,-0.046075
